Player,Opp_Team,Exit_Velocity,Angle,Pitch_Speed,Distance,Pitch_Type
"Rosario, Eddie",LAD,100.5,31,101.2,390,Sinker
"Duvall, Adam",PHI,103.8,25,100.9,418,Sinker
"Marsh, Brandon",CWS,108.9,20,100.8,401,4
"Lowrie, Jed",CLE,103.9,31,100.5,393,Cutter
"Chisholm Jr., Jazz",PHI,95.3,29,100.5,378,Sinker
"Chisholm Jr., Jazz",NYM,107.4,31,100.4,402,4
"Devers, Rafael",NYY,113.7,26,100.1,451,4
"Soler, Jorge",CLE,107.4,22,100.1,427,Cutter
"Mercado, Oscar",TOR,100.6,25,100,368,4
"McMahon, Ryan",NYM,103.5,22,99.9,391,4
"Zimmerman, Ryan",NYM,109.3,25,99.9,437,Sinker
"Blackmon, Charlie",LAD,106.3,24,99.9,366,Sinker
"Chapman, Matt",KC,107.1,22,99.9,388,4
"Hoskins, Rhys",MIA,107.7,28,99.8,410,4
"Hernandez, Yadiel",CHC,101.8,29,99.7,384,Sinker
"Riley, Austin",NYM,101.4,22,99.7,360,4
"BÃ¡ez, Javier",PHI,105.3,27,99.7,407,Sinker
"McCutchen, Andrew",NYY,100.9,31,99.6,413,4
"GarcÃ­a, Adolis",MIN,100.8,30,99.5,365,4
"Kirk, Alejandro",NYY,100.4,31,99.4,362,4
"Donaldson, Josh",HOU,106.9,22,99.4,365,4
"UrÃ­as, Luis",NYM,102.9,25,99.3,388,Sinker
"Cron, C.J.",SF,108,26,99.3,390,4
"Perez, Salvador",CWS,111.6,29,99.3,448,4
"Trammell, Taylor",LAD,104.9,24,99.2,405,4
"Devers, Rafael",KC,112.1,20,99.2,447,4
"Devers, Rafael",NYY,108.9,23,99.2,412,4
"Polanco, Jorge",DET,103.6,38,99.1,399,Sinker
"Rizzo, Anthony",TB,110,26,99,428,4
"Harper, Bryce",MIA,102.9,33,99,369,4
"Gurriel, Yuli",MIN,100.5,29,99,393,4
"Profar, Jurickson",SF,98.1,31,99,368,4
"Bell, Josh",PHI,109.8,21,99,404,Sinker
"UrÃ­as, Luis",NYM,105.9,29,99,413,4
"Rojas, Josh",LAA,102.8,26,98.9,422,4
"Wisdom, Patrick",STL,107.1,37,98.9,382,Sinker
"Marmolejos, JosÃ©",LAD,114.1,17,98.9,355,Sinker
"Perez, Salvador",CWS,99.8,37,98.8,389,4
"Mullins, Cedric",MIA,101,30,98.8,395,4
"Craig, Will",SF,107.8,23,98.7,395,4
"Mountcastle, Ryan",BOS,106.4,27,98.7,395,4
"Happ, Ian",STL,108.2,29,98.7,445,Sinker
"Vaughn, Andrew",NYY,109.8,27,98.6,432,4
"Goldschmidt, Paul",MIA,104.9,31,98.6,415,4
"Duvall, Adam",STL,107.8,35,98.6,417,4
"Urshela, Gio",OAK,104,27,98.6,424,4
"Martinez, J.D.",TOR,98.9,31,98.6,340,4
"Soto, Juan",CIN,104.2,25,98.5,368,Sinker
"Harper, Bryce",NYM,109,27,98.5,442,4
"Alvarez, Yordan",NYY,112.1,34,98.5,429,4
"SÃ¡nchez, Gary",TOR,102.6,31,98.5,382,4
"Lewis, Kyle",BAL,103.7,34,98.5,380,4
"Abreu, JosÃ©",KC,106.8,21,98.5,413,4
"Stewart, DJ",MIN,104.3,32,98.4,411,4
"Perez, Salvador",CWS,109.1,38,98.4,438,4
"Mancini, Trey",CWS,105.1,21,98.3,376,4
"Polanco, Jorge",NYY,105,25,98.3,397,Sinker
"Chirinos, Robinson",PHI,94.9,28,98.3,372,Sinker
"Kepler, Max",CWS,110.2,18,98.3,378,4
"Harper, Bryce",COL,109.6,31,98.3,435,4
"Alonso, Pete",MIA,106.2,30,98.3,425,4
"Odor, Rougned",PHI,107.7,34,98.3,428,Sinker
"Meadows, Austin",BOS,99.6,31,98.3,393,4
"Reyes, Franmil",TB,111,20,98.3,419,4
"Soto, Juan",TB,110.3,22,98.3,423,4
"Zunino, Mike",MIA,110.4,24,98.2,412,Sinker
"Bell, Josh",NYM,104.6,21,98.2,369,Sinker
"Renfroe, Hunter",TOR,102,27,98.2,404,4
"Ortega, Rafael",PIT,103.3,32,98.1,368,4
"Altuve, Jose",OAK,103.4,25,98.1,422,4
"Mountcastle, Ryan",KC,104,25,98.1,366,4
"Ohtani, Shohei",OAK,115.8,25,98.1,429,4
"McKinstry, Zach",COL,101.7,29,98.1,378,4
"Upton, Justin",NYY,104.5,31,98.1,391,4
"Realmuto, J.T.",MIA,100.5,33,98,387,4
"Mullins, Cedric",LAA,101.2,29,98,387,4
"Wisdom, Patrick",MIL,109.7,24,98,430,Sinker
"Neuse, Sheldon",HOU,108.6,22,98,430,4
"Soler, Jorge",DET,107.4,24,98,428,Sinker
"Ramos, Wilson",DET,106.3,31,98,431,Sinker
"PÃ©rez, Roberto",DET,106.2,23,97.9,363,Sinker
"Hoskins, Rhys",WSH,107.4,28,97.9,406,4
"Shaw, Travis",CWS,98.2,28,97.9,372,4
"Stanton, Giancarlo",CLE,115.7,19,97.9,418,4
"SanÃ³, Miguel",NYY,102.8,38,97.9,355,4
"Machado, Manny",WSH,109.2,33,97.9,413,4
"Kieboom, Carter",PHI,102.3,27,97.9,400,Sinker
"Polanco, Jorge",CIN,105.2,23,97.9,405,4
"Torreyes, Ronald",CIN,95.6,32,97.9,358,4
"DeJong, Paul",CIN,108.6,25,97.9,431,Sinker
"Freeman, Freddie",BOS,105.3,25,97.9,413,4
"Wade Jr., LaMonte",OAK,105,29,97.8,399,4
"VanMeter, Josh",COL,97.2,38,97.8,370,4
"Renfroe, Hunter",LAA,100.7,29,97.8,388,Sinker
"Smith, Will",COL,101.2,36,97.8,393,4
"d'Arnaud, Travis",COL,104.1,26,97.8,421,4
"Caratini, Victor",COL,110.8,23,97.8,401,4
"Stallings, Jacob",NYM,93.7,40,97.8,346,4
"Goldschmidt, Paul",CIN,100.8,31,97.8,365,Sinker
"Reynolds, Bryan",CLE,108.7,31,97.8,428,4
"Chisholm Jr., Jazz",NYM,110.3,40,97.8,402,Sinker
"Crawford, Brandon",COL,102,30,97.8,370,4
"Voit, Luke",BOS,102.4,26,97.8,369,4
"Cruz, Nelson",NYY,112.4,23,97.8,457,4
"Chapman, Matt",TEX,104.8,28,97.7,422,4
"Semien, Marcus",TB,102.7,27,97.7,413,4
"Zunino, Mike",BOS,112.2,33,97.7,432,4
"Dickerson, Corey",CWS,91.9,32,97.7,358,4
"Realmuto, J.T.",WSH,97.4,40,97.7,345,4
"Yastrzemski, Mike",COL,105.4,26,97.7,433,4
"Longoria, Evan",CHC,105.4,27,97.7,421,4
"Rosario, Eddie",MIA,105.5,28,97.7,417,4
"GarcÃ­a, Leury",BOS,103.5,26,97.7,430,4
"SuÃ¡rez, Eugenio",STL,110.1,23,97.7,409,4
"Santana, Danny",PHI,106.6,28,97.7,414,Sinker
"Duvall, Adam",ATL,105.2,27,97.6,369,4
"Contreras, Willson",CLE,105.8,31,97.6,400,4
"Brantley, Michael",CWS,102.4,31,97.6,406,4
"Posey, Buster",PHI,101.5,40,97.6,396,Sinker
"Happ, Ian",STL,111.3,25,97.6,451,Sinker
"Soto, Juan",PHI,108.2,25,97.6,397,4
"Donaldson, Josh",OAK,110.7,25,97.6,412,Sinker
"Cron, C.J.",MIL,101.4,33,97.6,401,4
"Polanco, Gregory",MIL,109.2,27,97.5,428,4
"Torrens, Luis",OAK,102.9,23,97.5,339,Sinker
"Crawford, Brandon",COL,97.2,34,97.5,369,4
"Stewart, DJ",DET,102.1,24,97.5,399,Sinker
"Urshela, Gio",TB,103.4,24,97.5,365,4
"Arozarena, Randy",CWS,106.6,21,97.5,395,4
"Torres, Gleyber",CWS,97.7,29,97.5,345,4
"Tatis Jr., Fernando",LAD,104.2,30,97.5,408,Sinker
"Donaldson, Josh",CWS,109,38,97.5,409,4
"Calhoun, Willie",CWS,104.2,25,97.5,418,4
"Semien, Marcus",NYY,102.3,29,97.4,386,4
"GarcÃ­a, Adolis",NYY,101.7,30,97.4,368,4
"Happ, Ian",CIN,99.5,29,97.4,392,4
"Meadows, Austin",PHI,104,20,97.4,401,4
"Crawford, Brandon",CIN,101.8,33,97.4,383,Sinker
"Lowe, Brandon",TEX,105.6,26,97.4,420,4
"Castro, Jason",LAA,104.4,30,97.4,397,4
"Santana, Carlos",DET,104.3,24,97.4,422,Sinker
"Santander, Anthony",HOU,102.6,22,97.4,378,4
"Semien, Marcus",NYY,101,37,97.4,370,4
