date,time,st,F_scale,Injuries,Fatalities,Loss,Length,Width,Day,Hour,F0,Fatal_Tornado
1950-01-03,11:00:00,MO,3,3,0,6,9.5,150,3,11,0,No
1950-01-03,11:00:00,MO,3,3,0,6,6.2,150,3,11,0,No
1950-01-03,11:10:00,IL,3,0,0,5,3.3,100,3,11,0,No
1950-01-03,11:55:00,IL,3,3,0,5,3.6,130,3,11,0,No
1950-01-03,16:00:00,OH,1,1,0,4,0.1,10,3,16,0,No
1950-01-13,05:25:00,AR,3,1,1,3,0.6,17,6,5,0,Yes
1950-01-25,21:00:00,IL,2,0,0,5,0.1,100,4,21,0,No
1950-01-25,19:30:00,MO,2,5,0,5,2.3,300,4,19,0,No
1950-01-26,18:00:00,TX,2,2,0,0,4.7,133,5,18,0,No
1950-02-11,23:55:00,TX,2,6,0,5,4.5,67,7,23,0,No
1950-02-11,21:00:00,TX,2,5,0,5,4.6,100,7,21,0,No
1950-02-11,13:50:00,TX,3,12,1,4,12,1000,7,13,0,Yes
1950-02-11,13:10:00,TX,2,0,0,4,9.9,400,7,13,0,No
1950-02-12,23:00:00,LA,1,0,0,4,0.5,33,1,23,0,No
1950-02-12,15:00:00,AR,2,0,0,4,5.7,100,1,15,0,No
1950-02-12,14:20:00,LA,2,0,0,0,0,0,1,14,0,No
1950-02-12,14:00:00,LA,3,25,5,5,74.5,100,1,14,0,Yes
1950-02-12,13:20:00,LA,2,10,5,5,58.4,100,1,13,0,Yes
1950-02-12,13:00:00,LA,4,77,18,5,82.6,100,1,13,0,Yes
1950-02-12,12:30:00,AR,2,0,0,3,0.1,100,1,12,0,No
1950-02-12,12:00:00,TX,3,15,3,5,1.9,50,1,12,0,Yes
1950-02-12,12:00:00,MS,1,0,0,0,2,10,1,12,0,No
1950-02-12,12:00:00,MS,2,2,3,4,0.1,10,1,12,0,Yes
1950-02-12,11:57:00,TX,1,32,0,5,7.7,100,1,11,0,No
1950-02-12,06:10:00,TX,2,0,0,4,3.4,100,1,6,0,No
1950-02-12,01:15:00,TX,1,0,0,4,2.3,233,1,1,0,No
1950-02-12,00:30:00,TX,2,8,1,4,8,833,1,0,0,Yes
1950-02-13,02:00:00,TN,2,1,9,4,0.2,10,2,2,0,Yes
1950-02-13,01:00:00,TN,1,8,0,3,0.2,10,2,1,0,No
1950-02-27,10:20:00,OK,2,0,0,4,2,50,2,10,0,No
1950-03-01,02:30:00,MS,1,0,0,0,0.1,10,4,2,0,No
1950-03-16,09:15:00,FL,2,0,0,3,1.5,150,5,9,0,No
1950-03-19,13:15:00,LA,0,0,0,4,18.1,27,1,13,1,No
1950-03-19,13:15:00,LA,2,0,0,4,1,50,1,13,0,No
1950-03-19,07:30:00,LA,1,2,0,4,2,33,1,7,0,No
1950-03-26,23:30:00,AR,2,2,0,0,5.4,833,1,23,0,No
1950-03-26,21:15:00,AR,3,20,0,5,14.9,1760,1,21,0,No
1950-03-26,20:30:00,AR,2,7,0,5,10.4,600,1,20,0,No
1950-03-26,19:31:00,AR,3,1,0,5,5.7,200,1,19,0,No
1950-03-26,19:30:00,AR,2,3,0,4,17.4,150,1,19,0,No
1950-03-27,16:30:00,IL,2,0,0,3,3,50,2,16,0,No
1950-03-27,15:00:00,TN,1,0,0,3,0.2,10,2,15,0,No
1950-03-27,11:00:00,MS,1,2,0,4,0.1,10,2,11,0,No
1950-03-27,08:45:00,MS,2,0,0,0,4.7,10,2,8,0,No
1950-03-27,08:30:00,LA,1,0,0,4,0.5,27,2,8,0,No
1950-03-27,07:45:00,MS,2,6,0,5,31.9,50,2,7,0,No
1950-03-27,07:45:00,MS,2,0,0,0,0,0,2,7,0,No
1950-03-27,07:45:00,MS,2,7,0,5,59.3,50,2,7,0,No
1950-03-27,07:45:00,MS,2,0,0,0,0,0,2,7,0,No
1950-03-27,07:30:00,MS,2,0,0,0,11.9,10,2,7,0,No
1950-03-27,06:00:00,LA,1,2,0,4,15.3,17,2,6,0,No
1950-03-27,05:00:00,MS,2,2,1,0,0.1,10,2,5,0,Yes
1950-03-27,03:00:00,OK,2,0,0,3,0.1,77,2,3,0,No
1950-04-02,18:00:00,AR,1,0,0,3,0.8,100,1,18,0,No
1950-04-02,18:00:00,OK,2,0,0,4,1,100,1,18,0,No
1950-04-02,15:30:00,AR,3,8,1,3,2.5,10,1,15,0,Yes
1950-04-03,16:15:00,OK,1,0,0,3,1,33,2,16,0,No
1950-04-18,01:45:00,AL,2,0,0,3,2,150,3,1,0,No
1950-04-18,01:30:00,AL,3,15,0,4,14,100,3,1,0,No
1950-04-24,07:45:00,LA,1,0,0,4,2,100,2,7,0,No
1950-04-27,16:00:00,SC,1,0,0,4,0.7,37,5,16,0,No
1950-04-28,19:30:00,OK,2,0,0,4,0.8,100,6,19,0,No
1950-04-28,19:05:00,OK,4,32,5,5,4.5,200,6,19,0,Yes
1950-04-28,18:00:00,TX,4,5,5,5,1.3,233,6,18,0,Yes
1950-04-28,17:00:00,KS,1,0,0,4,19.8,10,6,17,0,No
1950-04-28,14:17:00,OK,3,1,1,5,20.8,400,6,14,0,Yes
1950-04-29,15:30:00,TX,1,0,0,4,11.5,200,7,15,0,No
1950-04-29,12:00:00,MS,2,0,0,5,11.3,100,7,12,0,No
1950-05-01,11:30:00,LA,0,0,0,4,1,100,2,11,1,No
1950-05-01,11:30:00,LA,1,2,0,4,1,100,2,11,0,No
1950-05-01,11:25:00,LA,2,7,0,5,3.6,100,2,11,0,No
1950-05-01,10:30:00,LA,1,0,0,5,15.4,150,2,10,0,No
1950-05-01,09:00:00,MS,1,0,0,4,0.1,10,2,9,0,No
1950-05-01,05:00:00,MS,1,0,0,4,0.1,10,2,5,0,No
1950-05-01,01:00:00,LA,1,0,0,5,2,100,2,1,0,No
1950-05-02,03:00:00,LA,2,5,1,5,2,100,3,3,0,Yes
1950-05-02,02:00:00,LA,1,1,0,5,32.8,150,3,2,0,No
1950-05-04,23:10:00,KS,4,1,0,5,34.3,150,5,23,0,No
1950-05-04,21:45:00,OK,2,0,0,5,1,100,5,21,0,No
1950-05-04,21:30:00,OK,1,0,0,3,0.1,10,5,21,0,No
1950-05-04,21:30:00,OK,2,0,0,4,5.6,293,5,21,0,No
1950-05-04,21:00:00,IA,1,0,0,1,0.1,10,5,21,0,No
1950-05-04,20:30:00,TX,2,13,1,5,1.9,50,5,20,0,Yes
1950-05-04,20:00:00,KS,1,0,0,4,0.1,10,5,20,0,No
1950-05-05,03:30:00,KS,3,12,0,5,17.3,440,6,3,0,No
1950-05-07,23:00:00,OK,1,0,0,3,0.1,10,1,23,0,No
1950-05-07,23:00:00,OK,2,3,0,4,4.3,10,1,23,0,No
1950-05-07,18:30:00,OK,1,0,0,0,0.1,10,1,18,0,No
1950-05-08,22:10:00,NE,2,1,0,4,8.8,467,2,22,0,No
1950-05-08,21:30:00,KS,1,0,0,0,0.1,10,2,21,0,No
1950-05-08,21:17:00,KS,1,1,0,4,0.1,10,2,21,0,No
1950-05-08,19:30:00,KS,2,2,0,4,19.6,440,2,19,0,No
1950-05-08,19:20:00,IA,2,0,0,0,0.1,200,2,19,0,No
1950-05-08,19:00:00,KS,2,1,0,4,6.8,10,2,19,0,No
1950-05-08,18:30:00,KS,2,0,0,5,12.6,660,2,18,0,No
1950-05-08,13:00:00,FL,1,0,0,3,0.3,30,2,13,0,No
1950-05-08,04:30:00,SD,1,0,0,3,1,10,2,4,0,No
1950-05-09,20:20:00,OK,1,0,0,4,0.8,200,3,20,0,No
1950-05-09,00:01:00,KS,1,0,0,4,0.1,10,3,0,0,No
1950-05-10,13:00:00,WY,2,0,0,1,2,33,4,13,0,No
1950-05-11,18:30:00,OK,1,0,0,2,0.5,77,5,18,0,No
1950-05-12,17:00:00,NC,0,0,0,0,1,200,6,17,1,No
1950-05-12,17:00:00,NC,1,0,0,0,1,200,6,17,0,No
1950-05-12,14:00:00,NC,1,0,0,4,2,10,6,14,0,No
1950-05-13,11:30:00,LA,1,0,0,4,2,27,7,11,0,No
1950-05-14,17:30:00,NC,2,5,0,0,2,10,1,17,0,No
1950-05-14,17:00:00,NC,1,0,0,3,3.8,50,1,17,0,No
1950-05-14,16:00:00,TX,1,0,0,3,1,100,1,16,0,No
1950-05-15,11:00:00,FL,2,0,0,4,0.1,10,2,11,0,No
1950-05-15,11:00:00,FL,1,0,0,4,0.1,10,2,11,0,No
1950-05-15,00:01:00,TX,2,0,0,4,18,10,2,0,0,No
1950-05-16,19:30:00,OK,1,1,0,3,7.3,100,3,19,0,No
1950-05-16,18:00:00,KS,2,0,0,3,0.2,200,3,18,0,No
