Day,Alcohol_Use
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,Yes
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,Yes
Weekend,No
Weekend,Yes
Weekend,No
Weekend,Yes
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,No
Weekend,Yes
Weekend,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,Yes
Weekday,Yes
Weekday,No
Weekday,Yes
Weekday,Yes
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
Weekday,Yes
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,No
Weekday,Yes
Weekday,No
