Length_AL,Length_IA
0.88,0.5
3,0.1
28.6,10.6
2.52,0.1
0.1,5
7,0.1
0.7,1.22
20.28,0.5
0.5,3.3
1.06,0.5
5.1,0.02
13.2,10
5.37,2
0.2,0.5
15.2,6.7
6.91,0.3
7,0.3
0.5,0.1
1,0.43
25.31,5.7
0.5,3.3
0.79,0.05
0.9,1
4.32,1.08
0.1,3
0.5,17.5
3.2,1
0.36,3
4.9,0.5
6.3,6
0.1,0.1
3.84,1.47
2.4,0.2
3.08,5.1
4.66,2
0.05,0.1
0.91,0.2
18,0.2
8.2,0.2
6.31,2
2.97,0.1
0.1,10
0.01,5
0.5,3
0.18,0.2
0.1,0.2
1.04,0.1
0.35,0.01
0.1,3.5
0.78,0.1
0.78,0.1
9.55,4.7
4.3,0.1
1.5,8
0.5,5.29
19.2,0.2
12,4.2
1.32,0.2
15,0.1
0.82,0.1
5.59,1.83
0.1,0.1
6.1,1
0.22,0.1
21.74,1
0.45,1
0.1,2
0.95,0.3
16.2,1
22.9,7.54
6,0.1
10,3
0.5,0.2
0.1,7.36
2,0.1
