Race,Marital_Status
Non-Hispanic Black,Widowed
Mexican American,Separated
Non-Hispanic White,Married
Non-Hispanic Asian,Married
Other Hispanic,Married
Non-Hispanic Asian,Married
Non-Hispanic Asian,Married
Non-Hispanic White,Never married
Non-Hispanic Asian,Married
Other Hispanic,Living with partner
Mexican American,Divorced
Mexican American,Married
Non-Hispanic Black,Married
Mexican American,Divorced
Mexican American,Never married
Mexican American,Married
Non-Hispanic White,Married
Other Hispanic,Married
Non-Hispanic Asian,Married
Non-Hispanic Black,Married
Non-Hispanic Black,Married
Non-Hispanic White,Married
Non-Hispanic Asian,Never married
Other,Married
Mexican American,Married
Mexican American,Married
Non-Hispanic Black,Living with partner
Other Hispanic,Never married
Non-Hispanic Black,Widowed
Non-Hispanic White,Divorced
Other,Married
Non-Hispanic White,Never married
Non-Hispanic Asian,Married
Non-Hispanic White,Married
Non-Hispanic Black,Widowed
Non-Hispanic White,Married
Non-Hispanic Black,Divorced
Non-Hispanic White,Married
Mexican American,Married
Non-Hispanic White,Married
Other,Living with partner
Non-Hispanic White,Separated
Non-Hispanic Asian,Married
Non-Hispanic Asian,Married
Non-Hispanic Asian,Married
Other Hispanic,Widowed
Other,Married
Non-Hispanic Asian,Living with partner
Non-Hispanic Black,Married
Non-Hispanic Black,Living with partner
Non-Hispanic Black,Never married
Other Hispanic,Married
Non-Hispanic Black,Never married
Other Hispanic,Never married
Non-Hispanic Asian,Married
Non-Hispanic White,Married
Non-Hispanic Black,Married
Non-Hispanic White,Never married
Non-Hispanic White,Divorced
Non-Hispanic Asian,Married
Non-Hispanic White,Married
Non-Hispanic White,Married
Non-Hispanic White,Living with partner
Other,Married
Non-Hispanic Black,Never married
Non-Hispanic White,Married
Other Hispanic,Divorced
Other Hispanic,Widowed
Mexican American,Married
Non-Hispanic White,Married
Non-Hispanic White,Married
Non-Hispanic White,Married
Non-Hispanic Asian,Married
Mexican American,Married
Other,Married
Non-Hispanic Black,Separated
Non-Hispanic Black,Living with partner
Other Hispanic,Divorced
Non-Hispanic Asian,Married
Non-Hispanic White,Married
Non-Hispanic Black,Married
Non-Hispanic White,Never married
Non-Hispanic Black,Divorced
Non-Hispanic Asian,Married
Non-Hispanic Asian,Married
Other Hispanic,Married
Non-Hispanic Black,Divorced
Mexican American,Never married
Non-Hispanic White,Married
Mexican American,Separated
Non-Hispanic Asian,Married
Non-Hispanic Black,Divorced
Non-Hispanic Asian,Married
Non-Hispanic White,Married
Non-Hispanic Black,Never married
Non-Hispanic Black,Never married
Non-Hispanic White,Married
Non-Hispanic White,Married
Non-Hispanic Black,Married
Non-Hispanic White,Divorced
Non-Hispanic White,Widowed
Non-Hispanic Asian,Married
Non-Hispanic White,Divorced
Non-Hispanic Black,Married
Non-Hispanic Black,Married
Non-Hispanic White,Divorced
Other,Married
Non-Hispanic White,Never married
Non-Hispanic Black,Married
Other Hispanic,Married
Mexican American,Never married
Non-Hispanic Asian,Married
Non-Hispanic White,Married
Non-Hispanic Black,Never married
Mexican American,Never married
Non-Hispanic White,Widowed
Non-Hispanic Asian,Married
Non-Hispanic Black,Living with partner
Other Hispanic,Married
Mexican American,Never married
Non-Hispanic White,Married
Mexican American,Married
Non-Hispanic White,Never married
Non-Hispanic White,Married
Non-Hispanic Black,Never married
Non-Hispanic White,Divorced
Non-Hispanic White,Married
Non-Hispanic Black,Married
Non-Hispanic Asian,Never married
Non-Hispanic White,Married
Other Hispanic,Never married
Other Hispanic,Married
Non-Hispanic White,Married
Non-Hispanic Black,Divorced
Mexican American,Separated
Non-Hispanic Asian,Married
Non-Hispanic White,Married
Non-Hispanic Asian,Living with partner
Non-Hispanic White,Divorced
Non-Hispanic White,Divorced
Non-Hispanic White,Married
Other Hispanic,Living with partner
Non-Hispanic White,Married
Non-Hispanic White,Married
Non-Hispanic White,Divorced
Non-Hispanic White,Married
Non-Hispanic Black,Married
Other,Divorced
Other Hispanic,Married
Non-Hispanic Black,Widowed
Non-Hispanic Black,Widowed
Non-Hispanic Black,Married
Non-Hispanic Asian,Married
Non-Hispanic White,Married
Non-Hispanic White,Never married
Other,Married
Non-Hispanic White,Married
Mexican American,Married
Non-Hispanic White,Married
Non-Hispanic Black,Divorced
Non-Hispanic Asian,Married
Non-Hispanic Asian,Married
Non-Hispanic Black,Never married
Non-Hispanic Black,Married
Other,Living with partner
Non-Hispanic White,Married
Non-Hispanic White,Married
Non-Hispanic White,Divorced
Non-Hispanic Black,Separated
Non-Hispanic White,Divorced
Non-Hispanic Black,Never married
Non-Hispanic Asian,Married
Non-Hispanic Asian,Married
Other Hispanic,Never married
Non-Hispanic White,Never married
Non-Hispanic Asian,Married
Non-Hispanic White,Married
Non-Hispanic Black,Never married
Non-Hispanic Black,Separated
Non-Hispanic Black,Never married
Mexican American,Married
Non-Hispanic Black,Divorced
Non-Hispanic Black,Living with partner
Non-Hispanic White,Married
Non-Hispanic Black,Never married
Non-Hispanic Black,Never married
Non-Hispanic White,Married
Other,Married
Non-Hispanic Black,Widowed
Mexican American,Married
Non-Hispanic Black,Divorced
Other Hispanic,Never married
Non-Hispanic Black,Never married
Non-Hispanic White,Married
Non-Hispanic Black,Married
Non-Hispanic White,Married
Other Hispanic,Married
Non-Hispanic Black,Separated
Mexican American,Married
Non-Hispanic Black,Married
Non-Hispanic White,Divorced
Non-Hispanic White,Married
Non-Hispanic Asian,Married
Non-Hispanic White,Married
Non-Hispanic White,Married
Non-Hispanic Asian,Married
Non-Hispanic White,Married
Non-Hispanic White,Widowed
Non-Hispanic White,Married
Non-Hispanic Black,Never married
Other Hispanic,Married
Other,Married
Other Hispanic,Married
Other,Married
Mexican American,Married
Other Hispanic,Widowed
Mexican American,Living with partner
Non-Hispanic White,Married
Non-Hispanic White,Divorced
Non-Hispanic White,Married
Other Hispanic,Married
Non-Hispanic White,Married
Non-Hispanic White,Never married
Non-Hispanic White,Married
Non-Hispanic Black,Married
Non-Hispanic Black,Married
Non-Hispanic White,Separated
Mexican American,Living with partner
Non-Hispanic White,Never married
Other Hispanic,Living with partner
Non-Hispanic White,Divorced
Mexican American,Living with partner
Non-Hispanic White,Never married
Other,Never married
Mexican American,Never married
Other Hispanic,Married
Non-Hispanic Black,Living with partner
Non-Hispanic White,Married
Non-Hispanic Black,Married
Non-Hispanic White,Married
Non-Hispanic Asian,Widowed
Non-Hispanic Asian,Married
Non-Hispanic White,Never married
Non-Hispanic Black,Living with partner
Non-Hispanic Black,Married
Non-Hispanic White,Living with partner
Non-Hispanic White,Married
Mexican American,Married
Non-Hispanic Black,Never married
Mexican American,Never married
Non-Hispanic Asian,Never married
Mexican American,Married
Non-Hispanic White,Divorced
Non-Hispanic Black,Widowed
Other Hispanic,Married
Non-Hispanic Asian,Widowed
Non-Hispanic White,Married
Mexican American,Married
Non-Hispanic White,Married
Non-Hispanic White,Widowed
Non-Hispanic Black,Separated
Non-Hispanic Black,Widowed
Non-Hispanic White,Married
Non-Hispanic White,Divorced
Non-Hispanic White,Widowed
Non-Hispanic White,Married
Non-Hispanic White,Living with partner
Mexican American,Married
Non-Hispanic White,Married
Non-Hispanic Black,Divorced
Other,Living with partner
Non-Hispanic Asian,Never married
Non-Hispanic Asian,Married
Mexican American,Separated
Non-Hispanic White,Divorced
Non-Hispanic White,Divorced
Non-Hispanic White,Married
Mexican American,Married
Non-Hispanic Black,Married
Non-Hispanic Black,Married
Other Hispanic,Married
Non-Hispanic Asian,Never married
Other Hispanic,Living with partner
Other Hispanic,Married
Non-Hispanic Asian,Widowed
Non-Hispanic Black,Never married
Other,Never married
Non-Hispanic Black,Never married
Other,Never married
Other,Married
Non-Hispanic Black,Divorced
Non-Hispanic Black,Married
Non-Hispanic Black,Divorced
Non-Hispanic Asian,Married
Other Hispanic,Living with partner
Mexican American,Married
Non-Hispanic White,Married
Mexican American,Living with partner
Other Hispanic,Married
Non-Hispanic Black,Married
Mexican American,Never married
Non-Hispanic Black,Married
Non-Hispanic White,Married
Non-Hispanic Asian,Married
Other,Never married
Non-Hispanic Asian,Married
Non-Hispanic Asian,Living with partner
Non-Hispanic Black,Never married
Non-Hispanic Black,Divorced
Non-Hispanic White,Married
Other Hispanic,Married
Non-Hispanic White,Living with partner
Non-Hispanic White,Married
Non-Hispanic White,Married
Non-Hispanic Asian,Married
Other Hispanic,Married
Non-Hispanic Black,Never married
Non-Hispanic Asian,Married
Mexican American,Never married
Non-Hispanic Black,Married
Non-Hispanic Black,Married
Mexican American,Never married
Non-Hispanic White,Never married
Non-Hispanic Black,Never married
Mexican American,Separated
Non-Hispanic Black,Never married
Mexican American,Married
Non-Hispanic Black,Never married
