Day,Marital_Status,Alcohol_Use
Friday,Married,No
Thursday,Married,No
Thursday,Married,No
Thursday,Married,Yes
Wednesday,Never married,No
Monday,Divorced,No
Saturday,Never married,No
Monday,Widowed,No
Friday,Married,No
Thursday,Married,Yes
Friday,Never married,Yes
Saturday,Married,No
Saturday,Never married,No
Tuesday,Married,No
Tuesday,Married,No
Sunday,Married,Yes
Saturday,Married,No
Sunday,Never married,Yes
Friday,Divorced,No
Saturday,Living with partner,Yes
Sunday,Married,Yes
Sunday,Living with partner,No
Sunday,Divorced,Yes
Monday,Divorced,No
Friday,Married,No
Friday,Living with partner,No
Tuesday,Married,No
Saturday,Married,No
Friday,Married,Yes
Friday,Never married,No
Friday,Living with partner,No
Thursday,Divorced,Yes
Saturday,Never married,No
Tuesday,Married,No
Friday,Never married,No
Thursday,Married,No
Friday,Never married,No
Friday,Married,No
Friday,Never married,Yes
Saturday,Married,Yes
Saturday,Widowed,No
Sunday,Married,No
Sunday,Married,No
Sunday,Married,No
Friday,Married,Yes
Tuesday,Married,No
Tuesday,Never married,No
Wednesday,Married,No
Friday,Married,No
Wednesday,Divorced,No
Sunday,Widowed,No
Friday,Married,No
Saturday,Married,Yes
Saturday,Married,No
Saturday,Married,No
Saturday,Married,No
Friday,Divorced,No
Thursday,Married,No
Thursday,Married,No
Thursday,Widowed,No
Saturday,Never married,No
Tuesday,Married,No
Sunday,Married,No
Sunday,Married,No
Tuesday,Married,No
Sunday,Divorced,No
Sunday,Divorced,No
Saturday,Married,No
Friday,Divorced,No
Friday,Never married,No
Saturday,Married,No
Wednesday,Married,No
Monday,Never married,Yes
Thursday,Married,No
Saturday,Married,No
Friday,Married,Yes
Friday,Married,No
Saturday,Married,No
Tuesday,Married,No
Monday,Married,No
Saturday,Never married,No
Wednesday,Married,Yes
Thursday,Living with partner,No
Saturday,Married,No
Thursday,Living with partner,No
Wednesday,Divorced,Yes
Wednesday,Married,Yes
Sunday,Married,Yes
Monday,Married,No
Sunday,Married,No
Friday,Married,No
Sunday,Married,No
Friday,Married,Yes
Saturday,Divorced,No
Thursday,Married,No
Monday,Married,No
Friday,Separated,No
Saturday,Married,No
Thursday,Never married,No
Sunday,Married,No
Friday,Married,Yes
Saturday,Married,No
Friday,Living with partner,No
Wednesday,Married,No
Wednesday,Widowed,No
Tuesday,Married,No
Sunday,Married,Yes
Friday,Living with partner,No
Monday,Married,No
Saturday,Widowed,No
Monday,Widowed,No
Monday,Married,No
Friday,Never married,No
Friday,Never married,No
Saturday,Married,No
Thursday,Divorced,No
Wednesday,Married,No
Saturday,Married,No
Friday,Married,Yes
Monday,Married,No
Friday,Married,No
Monday,Married,Yes
Thursday,Widowed,No
Saturday,Widowed,Yes
Tuesday,Married,No
Sunday,Living with partner,No
Wednesday,Widowed,No
Tuesday,Married,No
Sunday,Never married,No
Tuesday,Divorced,No
Friday,Never married,No
Thursday,Living with partner,Yes
Friday,Married,No
Friday,Married,No
Friday,Living with partner,No
Tuesday,Married,No
Tuesday,Never married,No
Friday,Married,No
Tuesday,Married,No
Tuesday,Widowed,No
Friday,Married,No
Friday,Married,No
Saturday,Married,No
Saturday,Married,No
Friday,Living with partner,No
Thursday,Never married,No
Friday,Married,No
Friday,Divorced,No
Saturday,Married,No
Sunday,Married,No
Saturday,Never married,No
Monday,Separated,No
Thursday,Never married,No
Monday,Separated,Yes
Saturday,Divorced,Yes
Friday,Married,No
Friday,Married,No
Saturday,Never married,Yes
Sunday,Married,No
Friday,Never married,No
Saturday,Never married,No
Thursday,Married,Yes
Saturday,Married,No
Wednesday,Married,No
Sunday,Widowed,No
Thursday,Never married,No
Friday,Widowed,No
Thursday,Living with partner,No
Friday,Married,No
Sunday,Never married,No
Sunday,Married,No
Tuesday,Married,No
Sunday,Separated,No
Saturday,Married,No
Sunday,Married,No
Friday,Married,No
Friday,Married,No
Monday,Widowed,No
Friday,Never married,No
Saturday,Married,Yes
Thursday,Married,No
Tuesday,Widowed,No
Sunday,Never married,Yes
Saturday,Never married,No
Friday,Living with partner,No
Saturday,Married,No
Saturday,Never married,Yes
Friday,Never married,No
Friday,Never married,No
Saturday,Living with partner,Yes
Sunday,Widowed,No
Saturday,Married,No
Saturday,Married,No
Thursday,Never married,No
Sunday,Married,Yes
Wednesday,Married,No
Thursday,Separated,No
Friday,Married,No
Saturday,Married,No
Friday,Married,Yes
Friday,Married,No
Saturday,Living with partner,No
Sunday,Married,No
Tuesday,Living with partner,No
Friday,Married,No
Friday,Married,No
Sunday,Married,No
Friday,Never married,No
Friday,Divorced,No
Sunday,Never married,No
Thursday,Married,No
Wednesday,Living with partner,No
Sunday,Married,No
Wednesday,Married,No
Monday,Married,No
Saturday,Never married,Yes
Sunday,Married,No
Saturday,Married,Yes
Friday,Divorced,No
Wednesday,Divorced,Yes
Sunday,Widowed,No
Saturday,Never married,Yes
Tuesday,Married,No
Friday,Widowed,No
Sunday,Married,No
Tuesday,Married,No
Thursday,Married,No
Monday,Living with partner,Yes
Wednesday,Married,No
Sunday,Widowed,No
Friday,Never married,No
Thursday,Divorced,No
Friday,Married,No
Wednesday,Separated,No
Wednesday,Separated,No
Thursday,Married,No
Sunday,Married,No
Saturday,Married,Yes
Friday,Married,Yes
Saturday,Married,Yes
Monday,Married,No
Saturday,Married,Yes
Monday,Never married,No
Sunday,Married,Yes
Wednesday,Married,No
Wednesday,Never married,No
Friday,Married,No
Saturday,Never married,No
Monday,Married,No
Friday,Married,No
Wednesday,Married,No
Friday,Divorced,Yes
Wednesday,Never married,No
Sunday,Married,Yes
Wednesday,Divorced,No
Friday,Married,No
Tuesday,Divorced,No
Friday,Married,Yes
Thursday,Married,No
Monday,Married,No
Wednesday,Married,No
Sunday,Married,Yes
Monday,Married,No
Tuesday,Married,No
Monday,Never married,Yes
Saturday,Married,No
Saturday,Married,Yes
Tuesday,Married,No
Tuesday,Married,No
Saturday,Married,No
Thursday,Married,No
Thursday,Divorced,No
Saturday,Never married,No
Friday,Never married,No
Friday,Living with partner,No
Wednesday,Married,No
Saturday,Living with partner,No
Saturday,Married,No
Tuesday,Married,No
Thursday,Divorced,No
Saturday,Never married,No
Sunday,Married,No
Sunday,Married,Yes
Thursday,Divorced,No
Saturday,Married,No
Tuesday,Married,No
Monday,Married,No
Friday,Never married,Yes
Wednesday,Widowed,No
Wednesday,Divorced,No
