date,Deaths,inICU,Hospitalized,Negative_Test,Ventilator,Positive_Test
2021-03-07,842,8134,726,131835,2802,41835
2021-03-06,1680,8409,503,143835,2811,60015
2021-03-05,2221,8634,2781,271917,2889,68787
2021-03-04,1743,8970,1530,177957,2973,65487
2021-03-03,2449,9359,2172,267001,3094,66836
2021-03-02,1728,9465,1871,255779,3169,54248
2021-03-01,1241,9595,1024,118077,3171,48092
2021-02-28,1051,9802,879,203599,3245,54349
2021-02-27,1847,10114,1428,205090,3335,71245
2021-02-26,2141,10466,1868,276829,3466,74857
2021-02-25,3138,10846,2047,272209,3567,75565
2021-02-24,2447,11026,2172,245318,3685,73258
2021-02-23,2241,11272,2164,225267,3755,69105
2021-02-22,1235,11536,1305,123611,3804,52530
2021-02-21,1287,11862,997,156778,3915,58702
2021-02-20,2160,12120,1732,141790,3932,72354
2021-02-19,2477,12491,2674,224755,4118,74676
2021-02-18,2616,13036,2497,218491,4180,66824
2021-02-17,2348,13094,2857,233666,4271,66839
2021-02-16,1353,13607,2094,101102,4415,56312
2021-02-15,1078,13790,1130,143388,4468,55077
2021-02-14,1366,14038,1236,171877,4542,72164
2021-02-13,3467,14387,1805,234293,4648,90642
2021-02-12,5427,14766,2347,255983,4849,101030
2021-02-11,3873,15181,2460,260124,4970,102417
2021-02-10,3445,15788,3226,155861,5121,95194
2021-02-09,2795,16129,3144,337168,5216,92986
2021-02-08,1309,16174,1638,142156,5260,77737
2021-02-07,1475,16616,1543,208303,5342,95994
2021-02-06,2994,17093,2443,282477,5475,114557
2021-02-05,3543,17284,2940,270754,5596,131146
2021-02-04,5212,17918,3402,217496,5732,123907
2021-02-03,3685,18147,3975,224499,5920,116960
2021-02-02,3486,18388,3285,167082,6047,117616
2021-02-01,1562,18572,1766,344975,6086,120200
2021-01-31,2059,18968,2171,224593,6291,119367
2021-01-30,2982,19130,3147,232299,6329,148824
2021-01-29,3503,19609,2835,284168,6483,167111
2021-01-28,4011,20113,3500,269667,6642,157306
2021-01-27,4077,20497,4134,244553,6806,153985
2021-01-26,3734,20573,3705,377450,6832,146448
2021-01-25,1593,20875,2515,217006,6857,133454
2021-01-24,1944,21168,1909,223447,6989,144234
2021-01-23,3591,21657,6652,274547,7110,177118
2021-01-22,3980,22008,4325,284392,7236,190915
2021-01-21,3878,22309,4053,267695,7370,186275
2021-01-20,4409,22834,5105,342450,7564,189203
2021-01-19,2141,23054,3206,329847,7688,146626
2021-01-18,1395,23226,2839,192825,7772,150792
2021-01-17,2053,23432,2167,277842,7797,187218
2021-01-16,3709,23524,4039,226342,7755,218085
2021-01-15,3679,23593,4000,410997,7772,246454
2021-01-14,3915,23891,3792,305894,7878,225616
2021-01-13,4087,23857,5312,237885,7902,224491
2021-01-12,4064,23881,4657,443993,7879,218020
2021-01-11,1733,23501,3045,210610,7786,195255
2021-01-10,2068,23640,2413,270382,7878,228732
2021-01-09,3537,23718,6683,290183,7791,269368
2021-01-08,3780,23912,4705,320284,7908,295121
2021-01-07,4079,23821,5312,246578,7900,272043
2021-01-06,3902,23708,6607,263088,7946,250184
2021-01-05,3484,23509,4290,480256,7976,219075
2021-01-04,1547,23435,3892,148614,7930,179571
2021-01-03,1455,23243,2226,215583,7939,208457
2021-01-02,2406,23133,3051,221792,7910,280318
2021-01-01,2592,23255,4550,192048,7990,182906
