Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Devon Achane,RB,Texas A&M,5-9,188,4.32,33,"","","","",""
Jordan Addison,WR,USC,5-11,173,4.49,34,"",122,"","",""
Alex Austin,CB,Oregon St.,6-1,195,4.55,33,"",122,"",4.33,""
Deonte Banks,CB,Maryland,6-0,197,4.35,42,"",136,"","",""
Jordan Battle,DB,Alabama,6-1,209,4.55,"",17,"","","",""
Ronnie Bell,WR,Michigan,6-0,191,4.54,38.5,14,120,6.98,4.15,""
Jakorian Bennett,CB,Maryland,5-11,188,4.3,40.5,13,133,"","",""
Tank Bigsby,RB,Auburn,6-0,210,4.56,32.5,"",119,"","",""
Mekhi Blackmon,CB,USC,5-11,178,4.47,36,11,125,"","",""
Kayshon Boutte,WR,LSU,5-11,195,4.5,29,"",118,"",4.25,""
Brian Branch,CB,Alabama,6-0,190,4.58,34.5,14,125,"","",""
Julius Brents,CB,Kansas St.,6-3,198,4.53,41.5,"",138,6.63,4.05,""
Jalen Brooks,WR,South Carolina,6-1,201,4.69,35,"",130,7.15,4.31,""
Chase Brown,RB,Illinois,5-10,209,4.43,40,"",127,"","",""
Ji'Ayir Brown,DB,Penn St.,5-11,203,4.65,32.5,18,119,"","",""
Sydney Brown,DB,Illinois,5-10,211,4.47,40.5,23,130,"","",""
Jason Brownlee,WR,Southern Mississippi,6-2,198,4.59,39.5,16,131,"","",""
Arquon Bush,CB,Cincinnati,6-0,187,4.54,33.5,"",115,"","",""
Zach Charbonnet,RB,UCLA,6-0,214,4.53,37,"",122,"","",""
Kei'Trel Clark,CB,Louisville,5-10,181,4.42,34.5,"",122,"",4.21,""
Chamarri Conner,DB,Virginia Tech,6-0,202,4.51,40.5,20,125,"","",""
Jacob Copeland,WR,Maryland,5-11,201,4.42,33,20,127,7.01,4.47,""
Derius Davis,WR,TCU,5-8,165,4.36,"","","","",4.38,""
Nathaniel Dell,WR,Houston,5-8,165,4.49,"","",121,"","",""
Demario Douglas,WR,Liberty,5-8,179,4.44,39.5,"",134,"",4.29,""
Josh Downs,WR,North Carolina,5-9,171,4.48,38.5,"",131,"","",""
Grant DuBose,WR,Charlotte,6-2,201,4.57,35,"",125,6.89,4.32,""
Tiyon Evans,RB,Louisville,5-10,225,4.52,30.5,"","","","",""
Zay Flowers,WR,Boston Col.,5-9,182,4.42,35.5,"",127,"","",""
Emmanuel Forbes,CB,Mississippi St.,6-1,166,4.35,37.5,"",131,"","",""
Bryce Ford-Wheaton,WR,West Virginia,6-4,221,4.38,41,"",129,6.97,4.15,""
Mekhi Garner,CB,LSU,6-2,212,4.55,38,"",128,"","",""
Jahmyr Gibbs,RB,Alabama,5-9,199,4.36,33.5,"","","","",""
Christian Gonzalez,CB,Oregon,6-1,197,4.38,41.5,14,133,"","",""
Antoine Green,WR,North Carolina,6-2,199,4.47,33.5,"",123,6.99,4.27,""
Jadon Haselwood,WR,Arkansas,6-2,215,4.66,37,"",123,6.98,4.31,""
Malik Heath,WR,Mississippi,6-2,213,4.64,34,"",124,6.96,4.46,""
DeMarcco Hellams,DB,Alabama,6-1,203,4.57,31,"",121,"","",""
Elijah Higgins,WR,Stanford,6-3,235,4.54,35,"",126,7.01,"",""
Brandon Hill,DB,Pittsburgh,5-10,193,4.43,35.5,15,123,"","",""
Tre'Vius Hodges-Tomlinson,CB,TCU,5-8,178,4.41,39,12,132,"","",""
Jordan Howden,DB,Minnesota,6-0,203,4.49,33.5,14,119,"","",""
