COVID,SARS,MERS
3,5,9
3.5,6,11.5
5.5,1,2
4,2,2
4.5,6,2
2,4,2
10,3,3
5.5,5,3
6.5,10,3
5.5,3,3
3,4,3
4,10,5
6.5,5,5.5
3,5,5.5
4,5,6
2.5,1,6
5,3,6.5
7.5,4,6.5
5.5,4,7
4,1,7.5
3.5,4,8
4,2,8.5
5.5,13,9
4.5,2,11
6,1,14
3,2,10.5
3,8,3.5
4,5,4
3,4,2.5
5.5,14,3.5
22,4,5
4.5,10,3.5
5.5,9,2
1.5,2,2
12,7,2
6,7,2
2,6,3
5,2,3
8,3,3
5.5,1,4
8.5,4,4
4,8,4
3.5,6,4
4.5,5,4
5.5,2,4
4.5,2,4
4,1,4
3,2,5
9.5,2,5
4.5,3,5
"",1,6
"",11,6
"",1,6
"",2,6
"",4,6
"",6,6
"",10,6
"",3,6
"",8,7
"",6,7
"",5,7
"",4,7
"",6,8
"",6,8
"",6,8
"",7,9
"",2,10
"",3,11
"",3,12
"",3,15
"",3,""
"",3,""
"",4,""
"",4,""
"",4,""
"",4,""
"",4,""
"",5,""
"",5,""
"",5,""
"",7,""
"",8,""
"",4,""
"",7,""
"",9,""
"",6.5,""
"",5,""
"",7,""
"",7,""
"",10.5,""
"",7.5,""
"",3.5,""
"",3,""
"",10.5,""
"",7,""
"",2,""
"",3,""
"",3,""
"",3,""
"",3,""
"",3,""
"",3,""
"",3,""
"",3,""
"",3,""
"",4,""
"",5,""
"",5,""
"",5,""
"",6,""
"",8,""
"",3,""
"",4,""
"",4,""
"",4,""
"",4,""
"",6,""
"",7,""
"",2,""
"",2,""
"",5.5,""
"",7,""
"",13,""
"",6.5,""
"",3,""
"",3,""
"",2,""
"",2,""
"",6,""
"",2,""
"",3.5,""
"",8,""
"",8,""
"",3.5,""
"",5.5,""
"",5.5,""
"",6.5,""
"",3,""
"",2,""
"",2,""
"",3,""
"",4,""
"",3,""
"",2,""
"",4,""
"",5,""
"",3,""
"",2,""
"",4,""
"",5,""
"",6,""
"",7,""
"",16,""
