Race,UpperLegLength
Non-Hispanic Black,43.8
Non-Hispanic Black,44.5
Non-Hispanic Black,44.5
Non-Hispanic Black,46.4
Non-Hispanic Black,34.5
Non-Hispanic Black,39.9
Non-Hispanic Black,40.2
Non-Hispanic Black,39.5
Non-Hispanic Black,42.2
Non-Hispanic Black,38.2
Non-Hispanic Black,41
Non-Hispanic Black,42.9
Non-Hispanic Black,46
Non-Hispanic Black,45.2
Non-Hispanic Black,43.9
Non-Hispanic Black,47.1
Non-Hispanic Black,36.6
Non-Hispanic Black,35.3
Non-Hispanic Black,33
Non-Hispanic Black,45.6
Non-Hispanic Asian,38.3
Non-Hispanic Asian,36.2
Non-Hispanic Asian,42.2
Non-Hispanic Asian,36.8
Non-Hispanic Asian,34.1
Non-Hispanic Asian,39.1
Non-Hispanic Asian,37
Non-Hispanic Asian,39.6
Non-Hispanic Asian,29.9
Non-Hispanic Asian,42
Non-Hispanic Asian,39
Non-Hispanic Asian,43.5
Non-Hispanic Asian,40.8
Non-Hispanic Asian,37.3
Non-Hispanic Asian,44
Non-Hispanic Asian,36.1
Non-Hispanic Asian,36
Non-Hispanic Asian,35
Non-Hispanic Asian,35.4
Non-Hispanic Asian,40.2
Non-Hispanic White,35
Non-Hispanic White,38.7
Non-Hispanic White,31.6
Non-Hispanic White,35
Non-Hispanic White,38.9
Non-Hispanic White,34.1
Non-Hispanic White,41
Non-Hispanic White,41
Non-Hispanic White,38.6
Non-Hispanic White,38.5
Non-Hispanic White,37
Non-Hispanic White,34.5
Non-Hispanic White,31.9
Non-Hispanic White,44
Non-Hispanic White,39.9
Non-Hispanic White,44.3
Non-Hispanic White,39.8
Non-Hispanic White,38
Non-Hispanic White,44.5
Non-Hispanic White,35.8
Mexican American,38.1
Mexican American,36
Mexican American,40
Mexican American,41.2
Mexican American,45.2
Mexican American,40
Mexican American,41.9
Mexican American,44.8
Mexican American,41.5
Mexican American,43.4
Mexican American,37.2
Mexican American,33
Mexican American,40
Mexican American,41
Mexican American,38.7
Mexican American,36
Mexican American,41.1
Mexican American,30.5
Mexican American,33.9
Mexican American,42.9
Other Hispanic,37.7
Other Hispanic,42
Other Hispanic,31.8
Other Hispanic,37.6
Other Hispanic,35.8
Other Hispanic,38.3
Other Hispanic,32.9
Other Hispanic,36.6
Other Hispanic,42.1
Other Hispanic,38
Other Hispanic,36
Other Hispanic,30.7
Other Hispanic,38.2
Other Hispanic,31
Other Hispanic,28.2
Other Hispanic,33.7
Other Hispanic,33
Other Hispanic,42.1
Other Hispanic,42.6
Other Hispanic,36.4
Other,41.2
Other,40.6
Other,37.7
Other,42.1
Other,41.2
Other,37.6
Other,42
Other,40
Other,42.6
Other,41.2
Other,43.1
Other,44.3
Other,44
Other,44.5
Other,38.7
Other,43.2
Other,40.5
Other,31.4
Other,39.1
Other,39.6
