Sex,Layout,Score
Female,Tablet,19.8
Female,Tablet,18.1
Female,Tablet,18.4
Female,Tablet,18.5
Female,U,19.2
Female,U,18.6
Female,U,19.2
Female,U,18.7
Female,Clusters,18.1
Female,Clusters,17.8
Female,Clusters,17.5
Female,Clusters,18.3
Female,Table,17.3
Female,Table,17.7
Female,Table,17.1
Female,Table,17.6
Male,Tablet,18.8
Male,Tablet,18.9
Male,Tablet,18.2
Male,Tablet,18.9
Male,U,20.6
Male,U,19.8
Male,U,19.2
Male,U,19.7
Male,Clusters,18.4
Male,Clusters,17.1
Male,Clusters,17.7
Male,Clusters,18.2
Male,Table,17.7
Male,Table,17.8
Male,Table,16.9
Male,Table,17.5
