Energy,Protein
3926,108.2
2047,82.85
1470,87.88
5709,117.68
2056,69.68
2530,47.54
3401,97.39
3390,95.32
4343,167.9
1956,63.13
2730,52.78
2310,110.62
2417,71.54
2100,57.71
744,33.22
1971,90.96
3390,76.48
672,76.79
3107,130.51
2918,118.78
2805,74.73
238,37
2040,48.71
2652,73.06
2854,72.55
1469,59.19
4510,218.8
2323,88.14
1694,67.95
3066,77.27
1126,36.77
1974,57.31
2564,72.83
2446,138.37
2451,91.75
1090,59.32
4730,139.62
1284,29.3
1036,20.22
1607,61.35
1579,84.12
926,38.4
2311,105.15
2642,63.42
1922,79.99
2192,72.37
3493,84.16
2613,98.84
2529,148.73
1817,45.55
