Height,UpperLegLength,Weight
180.7,44.3,95.9
179.5,39.5,69.2
175.5,37.6,105
164.6,36.6,61.6
167.3,39.1,74.9
166.3,40.1,70.6
184.1,45,74.2
169.2,40,107.5
157.1,36,55.3
178.2,41.2,78.7
171.9,40.6,70.4
161.5,36,76.9
171.9,38.5,149.7
161.4,38.6,73.7
161.8,38.3,81
178.9,39.4,103.3
180,43.4,100.8
180,43.6,105.7
168.3,37.1,68.5
181.8,43,117.8
163.6,40,91
172,37.6,85.5
181.9,43.8,132.3
173.2,42,77.1
178.8,42,97
183.5,46.3,85.7
175.8,37.7,95.5
174.9,45.9,78.5
181.4,44.5,111.5
177,45,107.3
