Length,Width,Injury,Fatality
0.3,20,0,0
1.2,50,0,0
4.64,100,0,0
2.74,100,0,0
0.54,50,0,0
0.54,25,0,0
1.4,100,0,0
1.64,200,0,0
2.84,200,0,0
1.05,200,0,0
0.08,75,0,0
0.01,5,0,0
2.37,400,0,0
10.79,990,1,0
3.5,350,0,0
2.04,300,1,0
2.23,150,1,0
1.24,150,0,0
0.16,100,0,0
0.62,50,0,0
8.87,300,0,0
23.08,500,1,0
0.95,25,0,0
6.13,75,0,1
10.09,600,1,0
6.43,350,1,0
0.26,50,0,0
2.07,220,0,0
1.46,110,0,0
8.51,2464,0,0
1.23,350,0,0
6.9,100,0,0
3.57,100,0,0
0.06,10,0,0
0.8,20,0,1
7.29,50,0,0
6.11,800,0,0
5.55,1636,0,0
5.41,500,0,0
9.83,370,0,0
0.1,10,0,0
13.66,2252,0,0
4.1,1108,0,0
4.43,1108,0,0
13.19,1232,0,0
0,0,0,0
1.09,440,0,0
13.77,880,1,0
3.69,300,0,0
3.78,880,0,0
0.99,600,0,0
5.83,616,1,0
1.4,100,0,0
1.2,50,0,0
1.76,100,0,0
1.96,290,0,0
6.87,1760,0,0
0.63,95,0,0
5.71,50,0,0
9.24,440,0,0
7.3,200,0,0
0.9,50,0,0
0.3,40,0,0
2.32,215,0,0
0.76,110,0,0
3.04,267,0,0
0.14,40,0,0
0.6,30,1,0
0.2,25,0,0
0.54,20,0,0
1.13,564,0,0
0.12,127,0,0
0.09,135,0,0
0.25,50,0,0
0.25,75,0,0
0.05,10,0,0
0.67,10,0,0
1.66,25,0,0
0.21,25,0,0
0.15,25,0,0
0.28,25,0,0
0.02,25,0,0
2.18,175,0,0
0.14,25,0,0
0.95,110,0,0
3.05,600,0,0
4.7,600,0,0
