Height,UpperLegLength,Weight,Sex
169.8,39.2,54.3,0
171.2,38.6,80.1,0
166.3,34.9,67.2,0
149.1,31.3,88,0
184.9,41,72.8,1
153.3,35.7,58,0
172,41.2,77.4,1
180,43.4,100.8,1
181.6,42.8,63,1
149.3,32.4,58.7,0
153.5,31,87.7,0
161.2,33,65.8,0
174.4,45.2,75.8,1
176.9,45.6,134,1
186.2,45,118.8,1
159.8,34.3,67.7,1
160.9,39.2,136.6,0
171.8,40,69.8,1
176.6,46.1,88.6,1
152.2,34.6,66.2,0
189.1,43.7,105,1
176.1,37.4,132.3,1
155.1,35.9,64,0
176.1,40.8,113,1
174.9,39,133.5,1
166.6,37.4,80.9,0
159.2,37.9,67,0
160.9,37,69.6,1
170.9,39.4,79.8,1
174.1,39.5,86.7,0
162.2,31.9,99.7,1
176.7,45.8,103.2,1
185.1,46.8,83,1
166.7,37.3,93.6,1
166.5,38.7,86.3,1
172.9,41.5,70.3,1
164.9,38.1,62.3,1
184.8,43.6,93.8,1
171.3,39.6,78.9,1
161.8,40.3,101,0
156.9,39.4,69.3,1
174.9,40,86,0
158,35,57.7,0
178.2,42.7,92.5,1
177.1,41.5,70.9,1
160,38.5,74.6,0
162,36.2,46.9,0
170.6,42,65.6,1
169.1,34,125.3,0
157.6,37.2,76.3,0
