Years, Births per Woman
1950,3.148
1951,3.203
1952,3.257
1953,3.311
1954,3.365
1955,3.419
1956,3.474
1957,3.528
1958,3.582
1959,3.512
1960,3.443
1961,3.373
1962,3.304
1963,3.234
1964,3.096
1965,2.958
1966,2.819
1967,2.681
1968,2.543
1969,2.44
1970,2.337
1971,2.235
1972,2.132
1973,2.029
1974,1.978
1975,1.926
1976,1.875
1977,1.823
1978,1.772
1979,1.778
1980,1.785
1981,1.791
1982,1.798
1983,1.804
1984,1.826
1985,1.848
1986,1.871
1987,1.893
1988,1.915
1989,1.938
1990,1.961
1991,1.984
1992,2.007
1993,2.03
1994,2.023
1995,2.016
1996,2.01
1997,2.003
1998,1.996
1999,2.005
2000,2.014
2001,2.024
2002,2.033
2003,2.042
2004,2.045
2005,2.047
2006,2.05
2007,2.052
2008,2.055
2009,2.019
2010,1.983
2011,1.947
2012,1.911
2013,1.875
2014,1.855
2015,1.835
2016,1.816
2017,1.796
2018,1.776
2019,1.778
2020,1.779
2021,1.781
2022,1.782
