Name,State,Prog Length,School Type,2018_Drate,2017_Drate,2016_Drate
ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,8,1,12.1,17.6,18.2
FAULKNER UNIVERSITY,AL,8,2,9.9,9.8,12.5
UNIVERSITY OF MONTEVALLO,AL,8,1,5.4,7.7,7.3
ALABAMA STATE UNIVERSITY,AL,8,1,12.8,18,20.3
CENTRAL ALABAMA COMMUNITY COLLEGE,AL,5,1,14.8,18.9,19.6
ATHENS STATE UNIVERSITY,AL,8,1,5.6,6.7,7.5
AUBURN UNIVERSITY,AL,8,1,2.6,2.9,3.6
BIRMINGHAM-SOUTHERN COLLEGE,AL,6,2,4.4,3.7,4.8
CALHOUN COMMUNITY COLLEGE,AL,5,1,11,14.1,16.8
ENTERPRISE STATE COMMUNITY COLLEGE,AL,5,1,16.1,20.2,17.9
UNIVERSITY OF NORTH ALABAMA,AL,8,1,8.8,12.4,11.6
HUNTINGDON COLLEGE,AL,8,2,10,9.9,9.8
JACKSONVILLE STATE UNIVERSITY,AL,8,1,6.3,8.7,9.8
JEFFERSON STATE COMMUNITY COLLEGE,AL,5,1,10.1,14.5,13.8
JUDSON COLLEGE,AL,6,2,11.8,7.3,17.7
UNIVERSITY OF WEST ALABAMA,AL,8,1,5.8,7.3,7.8
MARION MILITARY INSTITUTE,AL,5,1,7.3,10.2,9.3
MILES COLLEGE,AL,6,2,11.4,13.4,11.1
UNIVERSITY OF MOBILE,AL,8,2,7.2,10,9.6
NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,5,1,15.8,17.9,12.1
OAKWOOD UNIVERSITY,AL,8,2,11.8,10.7,10.4
SAMFORD UNIVERSITY,AL,8,2,2,2.6,2.9
SNEAD STATE COMMUNITY COLLEGE,AL,5,1,10.5,16.4,20.5
SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,5,1,10.9,15.6,16.2
SPRING HILL COLLEGE,AL,8,2,4.3,6.6,5.9
STILLMAN COLLEGE,AL,6,2,17.7,22,23.1
TALLADEGA COLLEGE,AL,8,2,17.5,23,23.5
TROY UNIVERSITY,AL,8,1,7.3,9.6,9.8
TUSKEGEE UNIVERSITY,AL,8,2,10.4,11.4,13.5
UNIVERSITY OF ALABAMA,AL,8,1,4,5.4,5.1
UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,8,1,4.8,6.3,5.7
UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,8,1,4.7,6.5,5.9
UNIVERSITY OF SOUTH ALABAMA,AL,8,1,6.3,6.9,8.4
COASTAL ALABAMA COMMUNITY COLLEGE,AL,5,1,12.6,17.5,17.7
ALASKA PACIFIC UNIVERSITY,AK,8,2,5.9,6.6,5
UNIVERSITY OF ALASKA FAIRBANKS,AK,8,1,8.5,12.1,10.7
UNIVERSITY OF ALASKA SOUTHEAST,AK,8,1,5.1,9.2,9.8
ARIZONA WESTERN COLLEGE,AZ,5,1,12.1,22.8,18.3
COCHISE COLLEGE,AZ,5,1,4.9,6.2,6.8
GRAND CANYON UNIVERSITY,AZ,8,3,5,5.8,5.6
GLENDALE COMMUNITY COLLEGE,AZ,5,1,12.1,14.9,16.2
MESA COMMUNITY COLLEGE,AZ,5,1,11.2,15.3,16.7
PHOENIX COLLEGE,AZ,5,1,12,15.3,17.8
YAVAPAI COLLEGE,AZ,5,1,12.5,17.6,22.4
ARIZONA STATE UNIVERSITY,AZ,8,1,4.5,6.3,6.2
NORTHERN ARIZONA UNIVERSITY,AZ,8,1,4.6,6.8,6.6
UNIVERSITY OF ARIZONA (THE),AZ,8,1,5.4,6,6
UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,8,1,10.4,14.7,14.4
UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,8,1,13.6,19.5,17.3
ARKANSAS BAPTIST COLLEGE,AR,6,2,21,36,35.7
LYON COLLEGE,AR,6,2,8.2,11.2,11.4
ARKANSAS TECH UNIVERSITY,AR,8,1,5.8,9.1,9.1
ARKANSAS STATE UNIVERSITY,AR,8,1,3.3,5.7,5.9
ARKANSAS STATE UNIVERSITY - BEEBE,AR,5,1,7,9.6,8
UNIVERSITY OF CENTRAL ARKANSAS,AR,8,1,4.8,8.5,7.5
CENTRAL BAPTIST COLLEGE,AR,6,2,10.4,12,9.8
UNIVERSITY OF THE OZARKS,AR,6,2,20.3,9.9,15
CROWLEY'S RIDGE COLLEGE,AR,6,2,12.5,14.2,15.9
HARDING UNIVERSITY,AR,8,2,3.1,4.5,3.8
HENDERSON STATE UNIVERSITY,AR,8,1,4.8,7.1,7.3
HENDRIX COLLEGE,AR,8,2,3.1,2.3,3.4
JOHN BROWN UNIVERSITY,AR,8,2,3.8,3.7,3.8
UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,8,1,6.2,9.8,8.5
OUACHITA BAPTIST UNIVERSITY,AR,8,2,6.1,5.8,7.3
PHILANDER SMITH COLLEGE,AR,6,2,21.8,27.5,23.9
PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,AR,5,1,14.7,12.9,17.5
SHORTER COLLEGE,AR,5,2,9.5,27.8,23.8
WILLIAMS BAPTIST UNIVERSITY,AR,8,2,8.6,9.6,9.5
SOUTHERN ARKANSAS UNIVERSITY,AR,8,1,13.4,19.3,15.9
UNIVERSITY OF ARKANSAS,AR,8,1,4.1,5.6,4.9
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,8,1,1.2,2,1.7
UNIVERSITY OF ARKANSAS AT FORT SMITH,AR,8,1,7.9,16,16.4
ALLAN HANCOCK COLLEGE,CA,5,1,10.4,18.7,13.1
ANTELOPE VALLEY COLLEGE,CA,6,1,14,7.3,21.6
ART CENTER COLLEGE OF DESIGN,CA,8,2,3.2,1.1,4.8
AZUSA PACIFIC UNIVERSITY,CA,8,2,3.3,3.3,3
BAKERSFIELD COLLEGE,CA,6,1,10.4,16.3,15.1
BERKELEY SCHOOL OF THEOLOGY,CA,8,2,10,10.3,4.7
BIOLA UNIVERSITY,CA,8,2,2.7,1.6,2
CABRILLO COLLEGE,CA,5,1,8.9,19.3,17.7
CALIFORNIA BAPTIST UNIVERSITY,CA,8,2,3.1,4.6,4.5
CALIFORNIA COLLEGE OF THE ARTS,CA,8,2,4.2,4.3,2.9
CALIFORNIA INSTITUTE OF TECHNOLOGY,CA,8,2,0,1,0
