Sample Location,Sample Date,Lead(ppb),Copper(ppb),Lead > 15?
2205 Flushing Rd.,2/15/2015,0,0.13,no
212 Browning Ave.,2/18/2015,104,0,yes
1809 Stevenson St.,2/10/2015,10,0,no
4202 Cluster Ave.,3/4/2015,6,0.27,no
401 E. Newall St.,3/2/2015,5,0,no
215 Browning Ave.,3/21/2015,0,0.16,no
2615 Trumbull Ave.,2/27/2015,3,0,no
201 Browning Ave.,3/5/2015,0,0,no
1224 Decker St.,3/17/2015,13,0.1,no
1220 Decker St.,3/17/2015,4,0,no
1379 Washington Ave.,3/19/2015,8,0,no
1383 Washington Ave.,3/19/2015,6,0.17,no
1372 Washington Ave.,3/19/2015,2,0.14,no
1367 Washingotn Ave.,3/17/2015,1,0,no
1701 Marquette Dr.,3/14/2015,1,0.19,no
778 Bundy Ave.,3/24/2015,0,0,no
3714 Beecher Rd.,3/24/2015,2,0.52,no
1016 Ingleside Ave.,4/9/2015,7,0.07,no
1818 Rock Creek Ln.,4/6/2015,3,0.11,no
3010 Cheyenne St.,4/3/2015,5,0.1,no
2606 Mountain Ave.,4/15/2015,0,0,no
2020 Crooked Ln.,4/24/2015,5,0.1,no
310 E. Moore St.,4/22/2015,5,0,no
531 Alvord Ave.,5/6/2015,42,0,yes
216 Browning Ave.,5/7/2015,22,0.31,yes
3714 Beecher Rd.,5/14/2015,8,0.15,no
625 S. Grand Traverse,5/18/2015,20,0.14,yes
912 Lexington Ave.,5/15/2015,6,0,no
349 Robbie Ln.,5/31/2015,2,0,no
353 Robbie Ln.,5/30/2015,5,0.11,no
341 Robbie Ln.,5/31/2015,3,0.05,no
328 Robbie Ln.,5/30/2015,2,0.09,no
357 Robbie Ln.,5/31/2015,3,0.2,no
344 Robbie Ln.,5/31/2015,4,0.11,no
1807 Oren Ave.,6/8/2015,21,0,yes
421 Lyon St.,6/14/2015,7,0.14,no
1528 Delaware Ave.,6/12/2015,3,0,no
3811 Brentwood Dr.,6/14/2015,42,0,yes
1615 S. Franklin Ave.,6/14/2015,0,0,no
853 E. 7th St.,6/12/2015,7,0.07,no
1150 Woodside Dr.,6/14/2015,28,0,yes
547 Copeman Blvd.,6/14/2015,18,0,yes
920 Stocker Ave.,6/21/2015,1,0,no
742 Lincoln Ave.,6/19/2015,2,0,no
3517 Bennett Ave.,6/24/2015,3,0.06,no
1730 Overhill Dr.,6/22/2015,1,0.08,no
2117 Stanford Ave.,6/23/2015,5,0.08,no
2432 Beta Ln.,6/21/2015,0,0,no
2023 Miller Rd.,6/21/2015,3,0.06,no
721 East St. Apt #2,6/25/2015,10,0.16,no
3814 Whitter,6/25/2015,2,0,no
3120 Norwood,6/24/2015,5,0,no
2122 Pierce St.,6/21/2015,2,0,no
3521 Bennett Ave.,6/25/2015,3,0,no
1602 Raspberry Ln.,6/24/2015,0,0,no
1809 Lynbrook,6/26/2015,3,0,no
2112 Sherff,6/24/2015,9,0.06,no
1205 Blanchard Ave.,6/24/2015,11,0.05,no
860 Schafer St.,6/26/2015,0,0.06,no
2110 Flushing Rd.,6/30/2015,0,0.1,no
2300 Flushing Rd.,6/29/2015,3,0.28,no
2130 Flushing Rd.,6/28/2015,6,0.05,no
2202 Flushing Rd,6/29/2015,2,0.06,no
2429 Flushing Rd.,6/30/2015,0,0.06,no
4013 Brownell Blvd.,6/29/2015,2,0.08,no
2414 Flushing Rd.,6/30/2015,0,0,no
1914 Penbrook Ln.,6/29/2015,2,0,no
3901 Leedra St.,6/26/2015,0,0,no
3142 McClure,6/26/2015,3,0,no
2114 Flushing Rd.,6/30/2015,5,0.05,no
709 Frost St.,6/30/2015,2,0,no
