depth (km),magnitude
8.11,1.14
4.8,1.9
22.5,2.2
13.03,1.19
6.4,0.69
0.08,0.38
1.68,1.01
2.41,0.89
2.1,0.43
2.23,0.57
8.67,0.86
2.1,0.97
2.15,0.85
2.17,0.89
2.05,1.03
2.19,0.91
2.17,2.71
2.39,0.56
34.59,5
1.7761,0.99
75,1.6
9.0416,0.85
5.7464,0.48
35.9,1.7
17.9,1.5
1.8,0.37
1.53,0.32
1.96,0.55
18.27,0.99
1.1,1.52
2.02,0.67
3.78,0.91
0.6503,1.66
96,1.7
1.4,0.7
0.95,0.85
59.8,4.7
10.74,4.8
3.86,1.05
7.43,2.5
7.9,2.5
0,1.9
2.86,1.38
175.9,4.6
4.2,0.92
0.87,0.43
17.72,0.97
1.1,1.72
1.1,1.33
2.32,1.37
2.8,1.06
2.72,2.73
7.162,2.9
2.1,0.7
9.53,1.19
0,0.38
9.05,0.54
7.156,2.6
15.38,1.24
9.345,0.35
5,2.7
42.92,2.21
96.9,1.6
2.88,0.98
55.8,1.8
2.42,0.8
2.44,1.21
10.49,1
17.1,3.1
8.09,1.34
2.08,1.1
49.2,1.7
13.74,1.96
5.28,2.72
9.75,1.39
23.26,1.61
12.1595,0.27
2.54,0.19
65.1,1.6
2.39,0.75
0.96,0.7
7.343,0.3
37.75,4.6
2.76,1.42
4.44,0.29
6.8,1.08
13.36,1.29
1.77,0.94
4.2,0.56
8.84,0.8
0.03,1.8
304.9,4.8
14.81,0.35
8.5489,0.47
8.15,1.36
20.5,1.9
2.24,1.32
34.9,2
4.94,2.4
5.1,2.4
76.04,1.96
5,2.6
11.27,1.21
6.05,1.45
9.5,1.6
2.26,0.91
2.63,2.02
10,4.8
7.22,0.98
8.53,0.56
2.59,0.5
4.34,1.37
4.6,2.1
31,1.8
5,3.7
13.9923,1.03
12,2.3
8.47,1.13
8.73,0.31
3.05,2.7
10,5.1
5.45,1.79
8.63,0.87
8.66,0.79
5.8,1
2.03,0.64
2.75,0.88
11.43,0.72
51,2.4
0,1.9
8.57,1.55
1.48,0.88
1.48,0.86
7.4641,0.61
6.41,1.41
8.39,1.31
10,5.1
2.61,0.56
9.432,1.31
5.8,1.7
17.93,1.26
2.11,0.91
36.78,5.9
5.25,1.28
2.57,0.36
7.0065,0.23
0.45,0.75
10,5.6
0.09,0.67
128.4,3.3
2.53,0.18
65.07,5.3
0,1.7
132.83,4.7
14.4,1.7
10,5.1
14.87,1.77
77.56,4.7
6.9,2
2.2,1.34
5,2
17.32,2.06
17.26,1.55
17.31,0.88
17.8,1.3
6.75,4.5
9.4,1.4
52.3,1.8
16.63,0.71
16.02,1.99
2.9,1.8
75.7,1.7
2.97,0.93
2.8,1.56
3.8,0.7
2.73,1.59
16,1.9
2.06,1.16
1.1,1.42
1.58,1.1
9.63,1.07
2.3,0.8
6.15,1.59
202.4,2.4
7.47,1.14
3.91,0.49
2.1,1.26
13.2,2.5
5.322,2.6
12.21,1.27
11,2.5
7.24,4.6
5.99,0.9
68.19,4.4
2.21,0.79
3.1,0.7
0.01,0.64
2.09,1.24
7.86,1.4
115.28,4.4
8.07,0.66
10.55,1
2.95,0.52
4.8039,1.42
5,2.5
8.08,0.97
4.3827,2.28
8.4,0.9
95.1,1.5
23.35,4.3
6.48,1.74
3.7448,1.69
1.45,0.57
0.78,0.56
43.44,5.3
2.75,1.01
159.45,4.3
4.69,1.54
29.2,1.6
9.64,0.05
4.93,2.22
5.3448,2.23
13.8,1
10.25,0.6
5.79,0.85
33.3,1.9
8.37,0.96
35,4.4
58.6,2.2
6.44,0.62
2.3683,1.37
1.8074,1.8
2.86,1.95
6.35,0.55
8.5,1.3
13.28,0.86
4.8222,2.55
5.55,2.33
9.14,1.44
14.7,1.3
49.8,5.2
33.4,1.7
9.34,1.47
4.8294,1.56
4.3387,2.05
2.4,0.7
4.1713,3.29
8.9,2.2
6.978,3.2
3.7675,1.65
1.32,1.2
3.9814,2.06
10.8,1.5
20.8,2.2
3.9,2.6
4,1.35
10,5
3.3493,1.88
3.7,0.8
2.48,0.83
38.25,5.5
3.31,1.51
11.44,0.46
2.47,1.47
5.55,0.65
2,1.5
10.14,1.33
13.6,2.04
1.54,0.53
2.59,0.94
19.44,1.45
13.48,0.86
2.63,0.55
19.06,1.63
2.38,1.23
8.68,1.62
36,1.6
45.31,5.6
9.88,1.24
20,6.6
64.97,4.1
1.1,1.34
14.72,2.38
70,2.3
8.14,1.33
7.6,1.8
2.22,1.22
10,5.4
2.65,0.56
18.41,1.6
2.58,0.55
2.1,1.54
1.16,0.78
2.51,0.79
6.88,1.14
55,2.1
2.9,0.8
5.91,0.65
5.9,1.4
10.9,1.56
5.32,1.68
2.4,2.7
11.35,2.39
13.7,0.66
22.6,2.2
10.67,1.32
14.26,1.35
2.55,1.35
16.11,1.73
17.42,1.12
1.33,0.55
40.63,4.6
18.5,1
21.5,2.2
12.06,0.58
3.85,1.56
9.78,1.29
7.1,0.9
35,4.7
19.93,0.68
1.73,1.77
15.42,0.81
5.44,1.24
3.2,1.8
7.94,1.09
2.76,0.58
17.28,0.73
8.82,1.15
16.9,1.05
15.65,0.63
1.46,0.23
3.73,0.89
134.72,4.1
45.59,4.4
7.24,0.59
71.5,0.8
