Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition,var9
ABE,Lehigh Valley International Airport,Allegiant Air,Property Damage,Checkpoint,Personal Electronics,0,Deny,""
ABE,Lehigh Valley International Airport,Allegiant Air,Passenger Property Loss,Checked Baggage,Clothing,60,Approve in Full,""
ABI,Abilene Regional,American Airlines,Property Damage,Checked Baggage,Home Decor,0,Deny,""
ABI,Abilene Regional,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,200,Approve in Full,""
ABI,Abilene Regional,American Airlines,Passenger Property Loss,Checked Baggage,Personal Electronics,0,Deny,""
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing; Home Decor,136.49,Settle,""
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Household Items,0,Deny,""
ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,Cameras; Computer & Accessories; Personal Electronics,0,Deny,""
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,121.89,Settle,""
ABQ,Albuquerque International Sunport Airport,UAL,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ABQ,Albuquerque International Sunport Airport,Jet Blue,Property Damage,Checked Baggage,Clothing,0,Deny,""
ABQ,Albuquerque International Sunport Airport,Aires Airline,Passenger Property Loss,Checked Baggage,Personal Accessories,0,Deny,""
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Food & Drink,0,Deny,""
ABQ,Albuquerque International Sunport Airport,USAir,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ACK,Nantucket Memorial Airport,Cape Air,Passenger Property Loss,Checked Baggage,Clothing; Clothing; Clothing; Clothing,0,Deny,""
ACT,Waco Regional Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
ACV,ArcataEureka,UAL,Passenger Property Loss,Checked Baggage,Currency; Currency; Other,0,Deny,""
ACY,Atlantic City International,Spirit Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,47.5,Approve in Full,""
ACY,Atlantic City International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Other,38,Approve in Full,""
ACY,Atlantic City International,Spirit Airlines,Property Damage,Checkpoint,Clothing,30,Approve in Full,""
ACY,Atlantic City International,Republic Airways,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,0,Deny,""
ACY,Atlantic City International,Spirit Airlines,Property Damage,Checked Baggage,Computer & Accessories,31.92,Settle,""
ADK,Adak Mitchell Field Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Outdoor Items,0,Deny,""
ADQ,Kodiak State Airport,Alaska Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,65.01,Approve in Full,""
AGS,Bush Field,USAir,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
AGS,Bush Field,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,25,Approve in Full,""
ALB,Albany International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,10.86,Approve in Full,""
ALB,Albany International,USAir,Passenger Property Loss,Checked Baggage,Computer & Accessories,0,Deny,""
ALB,Albany International,UAL,Property Damage,Checked Baggage,Other,247.5,Settle,""
ALB,Albany International,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,100,Approve in Full,""
ALB,Albany International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,240.71,Approve in Full,""
ALB,Albany International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,0,Deny,""
ALB,Albany International,Southwest Airlines,Property Damage,Checked Baggage,Personal Accessories,0,Deny,""
ALB,Albany International,USAir,Passenger Property Loss,Checkpoint,Cosmetics & Grooming,82,Approve in Full,""
ALB,Albany International,USAir,Property Damage,Checkpoint,Personal Accessories,192.78,Settle,""
ALB,Albany International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,19,Approve in Full,""
ALB,Albany International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing,40,Approve in Full,""
ALB,Albany International,UAL,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,57.95,Approve in Full,""
ALB,Albany International,Southwest Airlines,Property Damage,Checkpoint,Clothing,46,Approve in Full,""
ALB,Albany International,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
ALB,Albany International,USAir,Property Damage,Checked Baggage,Sporting Equipment & Supplies,0,Deny,""
ALB,Albany International,Southwest Airlines,Property Damage,Checked Baggage,Travel Accessories,47.09,Approve in Full,""
ALB,Albany International,UAL,Passenger Property Loss,Checked Baggage,Clothing; Jewelry & Watches; Jewelry & Watches; Personal Electronics,0,Deny,""
ALB,Albany International,Delta Air Lines,Property Damage,Checkpoint,Clothing,310.3,Settle,""
ALB,Albany International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing; Clothing,0,Deny,""
ALB,Albany International,USAir,Property Damage,Checked Baggage,Computer & Accessories,0,Deny,""
ALB,Albany International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Food & Drink,0,Deny,""
