ScreenTime,Sleep,Employment
59,6.4,Office Workers
14.2,10.5,Retirees
49.8,7.2,Office Workers
12.2,7.3,Retirees
51.8,9.6,Office Workers
19.8,8.8,Retirees
49,8.7,Field Technicians
6.7,12,Retirees
54,7.2,Field Technicians
11.2,6.5,Retirees
31.7,10.8,Field Technicians
49.2,9.4,Office Workers
54.3,7.5,Office Workers
18,10.2,Retirees
34.5,12,Field Technicians
48.9,6.2,Field Technicians
14.4,9,Retirees
40.7,10.3,Office Workers
32.9,9.5,Field Technicians
8.8,6,Retirees
49.4,9.1,Office Workers
45,7.5,Office Workers
9.8,7.2,Retirees
45.4,9.2,Field Technicians
45.2,10.6,Field Technicians
29.1,10.7,Field Technicians
69.3,5.8,Office Workers
12.8,9,Retirees
42.9,8.1,Office Workers
44.4,6.1,Field Technicians
