Ratio,Tuition,Control
12,34302,Private
16,31869,Private
16,63554,Private
14,29802,Public
14,59856,Private
20,27095,Public
16,26709,Public
15,30107,Public
25,29888,Private
12,46298,Private
10,58070,Private
10,31506,Private
11,26765,Public
16,29453,Public
13,55500,Private
16,63185,Private
16,54220,Private
18,49424,Private
9,55680,Private
9,79575,Private
10,48038,Private
7,80050,Private
9,80618,Private
20,12880,Private
12,48058,Private
16,30179,Public
20,45731,Private
11,66265,Private
11,32355,Private
8,57822,Private
5,77474,Private
14,70428,Private
10,52632,Private
16,19910,Public
17,23323,Public
8,79746,Private
12,45320,Private
13,25352,Public
15,24938,Public
8,42252,Private
15,25970,Public
13,18008,Public
15,50480,Private
15,27545,Public
14,25802,Public
7,53502,Private
19,18612,Public
12,47040,Private
18,37464,Private
12,48430,Private
