State,Profanity,Integrity
Alabama,34,72
Alaska,42,68
Arizona,41,68
Arkansas,29,68
California,44,81
Colorado,39,67
Connecticut,52,86
Delaware,51,70
Florida,41,71
Georgia,36,49
Hawaii,45,74
Idaho,31,61
Illinois,45,74
Indiana,35,70
Iowa,40,87
Kansas,39,75
Kentucky,37,71
Loiusiana,35,72
Maine,33,56
Maryland,46,61
Massachusetts,46,74
Michigan,41,58
Minnesota,39,69
Mississippi,33,79
Missouri,37,72
Montana,35,68
Nebraska,42,80
Nevada,47,60
New Hampsire,36,66
New Jersey,50,87
New Mexico,34,62
New York,46,65
North Carolina,37,71
North Dakota,37,58
Ohio,39,66
Oklahoma,33,64
Oregon,36,73
Pennsylvania,42,71
Rhode Island,44,74
South Carolina,29,57
South Dakota,38,50
Tennessee,32,76
Texas,38,68
Utah,26,65
Vermont,40,69
Virginia,36,55
Washington,36,83
West Virginia,34,68
Wisconsin,39,70
Wyoming,34,52
