Country,Education,GDP per capita$,Population
Albania,436.7,10947,2.89
Algeria,375.1,13024,39.73
Argentina,429.4,19316,43.08
Armenia,469.1,9552,2.93
Australia,509.2,44336,23.93
Austria,519.5,44845,8.68
Azerbaijan,453.1,16045,9.62
Bahrain,452.4,39197,1.37
Belgium,529.1,39531,11.29
Botswana,398.5,14626,2.12
Brazil,408.8,15377,204.47
Bulgaria,490.7,17254,7.2
Burundi,332.3,723,10.16
Canada,519.7,42844,36.03
Chad,300.5,2387,14.11
Chile,456,21340,17.97
China,554.7,12002,1.41
Colombia,413.7,12858,47.52
Comoros,297.4,1706,777
Costa Rica,422.5,13568,4.85
Cote d'Ivoire,259.8,3473,23.23
Croatia,491.6,20905,4.23
Cyprus,518,25903,1.16
Czechia,516.2,30410,10.6
Democratic Republic of Congo,340.2,836,76.25
Denmark,534.2,44939,5.69
Dominican Republic,337.7,13382,10.28
Ecuador,414.7,10914,16.21
Egypt,397.8,11236,92.44
Estonia,542.4,25790,1.31
Finland,531.1,37920,5.48
France,499.2,38448,64.45
Georgia,459.7,10198,4.02
Germany,524.3,46426,81.79
Ghana,336.2,3687,27.85
Greece,477.9,24545,10.66
Guatemala,389,7055,16.25
Honduras,363.7,4352,9.11
Hong Kong,605.4,46504,7.19
Hungary,522.5,23539,9.78
Iceland,511.8,40572,330
India,378.5,5639,1.31
Indonesia,396.7,10099,258.38
Iran,433.9,15039,78.49
Ireland,535.4,53372,4.65
Israel,514.2,31729,7.98
Italy,500.8,34673,60.58
Japan,590.9,36030,127.98
Jordan,387,11738,9.27
Kazakhstan,536.1,23408,17.57
Kuwait,372.3,68127,3.84
Kyrgyzstan,362.1,5910,5.96
Latvia,508.2,22724,2
Lebanon,454.4,12665,6.53
Lithuania,523.2,25279,2.93
Luxembourg,508.9,67804,567
Malaysia,474.1,22075,30.27
Malta,498,26577,434
Mauritius,444.7,18259,1.26
Mexico,443.4,15766,121.86
Moldova,443.3,5569,4.07
Montenegro,441.4,17738,627
Morocco,380.8,7577,34.66
Netherlands,530.3,48463,16.94
New Zealand,492.7,33445,4.62
Nicaragua,365.7,4699,6.22
North Macedonia,389,13586,2.08
Norway,530.5,76305,5.2
Oman,414.9,37096,4.27
Palestine,400.6,4422,4.53
Panama,369,20809,3.97
Paraguay,366.8,8364,6.69
Peru,419.5,11215,30.47
Poland,528.8,25310,38.03
Portugal,525.2,27255,10.37
Puerto Rico,396.3,35384,3.38
Qatar,438.9,139542,2.57
Romania,469.4,20549,19.93
Russia,551.6,23118,144.98
Saudi Arabia,375.6,47737,31.72
Serbia,512.2,13556,8.88
Singapore,619.2,67110,5.59
Slovakia,495.3,25896,5.44
Slovenia,518,28077,2.07
South Africa,374.1,12054,55.39
South Korea,607.2,35316,50.82
Spain,504.8,33376,46.67
Sweden,509.1,43464,9.77
Switzerland,543.8,61476,8.3
Syria,390.9,3509,18
Taiwan,597.8,41805,23.56
Thailand,440.3,13938,68.72
Togo,283.2,1482,7.32
Trinidad and Tobago,438.8,30892,1.37
Tunisia,384.1,10608,11.18
Turkey,470.4,20808,78.53
Ukraine,478.3,9429,44.92
United Arab Emirates,460.5,69237,9.26
United Kingdom,515.8,38749,65.86
United States,529.1,52591,320.88
Uruguay,445.4,19668,3.41
Venezuela,422.7,16257,30.08
Vietnam,520,5733,92.68
Yemen,297.2,2496,26.5
