Date,Day,Number,,
15-Feb,0,15,,
16-Feb,1,15,,
17-Feb,2,15,,
18-Feb,3,15,,
19-Feb,4,15,,
20-Feb,5,15,,
21-Feb,6,35,,
22-Feb,7,35,,
23-Feb,8,35,,
24-Feb,9,53,,
25-Feb,10,57,,
26-Feb,11,60,,
27-Feb,12,60,,
28-Feb,13,63,,
29-Feb,14,68,,
1-Mar,15,75,,
2-Mar,16,100,,
3-Mar,17,124,,
4-Mar,18,158,,
5-Mar,19,221,,
6-Mar,20,319,,
7-Mar,21,435,,
8-Mar,22,541,,
9-Mar,23,704,,
10-Mar,24,994,,
11-Mar,25,1301,,
12-Mar,26,1630,,
13-Mar,27,2183,,
14-Mar,28,2770,,
15-Mar,29,3613,,
16-Mar,30,4596,,
17-Mar,31,6344,,
18-Mar,32,9197,,
19-Mar,33,13779,,
20-Mar,34,19367,,
21-Mar,35,24192,,
22-Mar,36,33592,,
23-Mar,37,43781,,
24-Mar,38,54856,,
25-Mar,39,68211,,
26-Mar,40,85435,,
27-Mar,41,104126,,
28-Mar,42,123578,,
29-Mar,43,143491,,
30-Mar,44,163788,,
31-Mar,45,188530,,
1-Apr,46,215030,,
2-Apr,47,244877,,
3-Apr,48,277161,,
4-Apr,49,311357,,
5-Apr,50,336673,,
6-Apr,51,367004,,
