Player,Pos,Ht,Wt,40yd,Vertical,Broad Jump
Cal Adomitis,LS,6,235,4.97,29.5,107
Austin Allen,TE,6,253,4.83,34,121
Tyler Allgeier,RB,5,224,4.6,33,120
Troy Andersen,LB,6,243,4.42,36,128
Tycen Anderson,S,6,209,4.36,35.5,123
Blaise Andries,OG,6,308,5.1,30.5,106
Matt Araiza,P,6,200,4.68,32,121
Brian Asamoah,LB,6,226,4.56,36.5,124
Calvin Austin,WR,5,170,4.32,39,135
Tyler Badie,RB,5,197,4.45,33.5,121
Amaré Barno,EDGE,6,246,4.36,37,131
Markquese Bell,S,6,212,4.41,36.5,123
David Bell,WR,6,212,4.65,33,118
Daniel Bellinger,TE,6,253,4.63,34.5,125
Dane Belton,S,6,205,4.43,36.5,123
Slade Bolden,WR,5,193,4.66,32,116
Nik Bonitto,EDGE,6,248,4.54,35.5,120
Jaquan Brisker,S,6,199,4.49,34.5,124
Kennedy Brooks,RB,5,209,4.59,31,120
Leddie Brown,RB,6,213,4.64,30,118
Logan Bruss,OG,6,309,5.32,31,112
Spencer Burford,OG,6,304,5.19,27.5,105
Treylon Burks,WR,6,225,4.55,33,122
Matthew Butler,DT,6,297,5,32,112
Percy Butler,S,6,194,4.36,31.5,123
Chance Campbell,LB,6,232,4.57,39.5,127
Ja&#039;Tyre Carter,OG,6,311,5.13,30,108
Zachary Carter,DE,6,282,4.99,27.5,110
Tykevious Chandler,RB,5,204,4.38,31,121
Leo Chenal,LB,6,250,4.53,40.5,128
Lewis Cine,S,6,199,4.37,36.5,133
Damone Clark,LB,6,239,4.57,36.5,127
Jack Coan,QB,6,218,4.9,33,115
Snoop Conner,RB,5,222,4.59,29.5,118
James Cook,RB,5,199,4.42,33,124
Charles Cross,OT,6,307,4.95,26,112
Nick Cross,S,6,212,4.34,37,130
Dustin Crum,QB,6,210,4.75,32.5,120
Myron Cunningham,OT,6,320,5.38,20,98
Jordan Davis,DT,6,341,4.78,32,123
Tyrion Davis-Price,RB,6,211,4.48,30,117
Dawson Deaton,C,6,306,5.12,29,108
Austin Deculus,OT,6,321,5.08,28.5,109
Kellen Diesch,OT,6,301,4.89,32.5,110
Dai&#039;Jean Dixon,WR,6,205,4.62,34,125
JoJo Domann,LB,6,228,4.62,34.5,119
Jahan Dotson,WR,5,178,4.43,36,121
Dontario Drummond,WR,6,215,4.65,34,122
Greg Dulcich,TE,6,243,4.69,34,122
William Dunkle,OG,6,328,5.44,26,95
Jerrion Ealy,RB,5,189,4.52,34.5,128
Ikem Ekwonu,OT,6,310,4.93,29,108
Kingsley Enagbare,DE,6,258,4.87,36.5,117
Akayleb Evans,CB,6,197,4.46,36,129
Obinna Eze,OT,6,321,5.17,27.5,104
Joshua Ezeudu,OG,6,308,5.19,28.5,105
Jake Ferguson,TE,6,250,4.81,31.5,118
Jerome Ford,RB,5,210,4.46,31,118
Luke Fortner,C,6,307,5.21,24,102
Ty Fryfogle,WR,6,204,4.53,39,127
Tyler Goodson,RB,5,197,4.42,36.5,123
Isaiah Graham-Mobley,LB,6,230,4.63,34.5,124
Danny Gray,WR,6,186,4.33,34,126
Kenyon Green,OG,6,323,5.24,26,102
Jeffrey Gunter,EDGE,6,258,4.7,35.5,122
Breece Hall,RB,5,217,4.39,40,126
Jeremiah Hall,TE,6,239,4.96,29,111
Kyle Hamilton,S,6,220,4.59,38,131
Christian Harris,LB,6,226,4.44,34.5,132
Marquis Hayes,OG,6,318,5.3,23.5,102
Peyton Hendershot,TE,6,250,4.8,32.5,117
Daxton Hill,S,6,191,4.38,33.5,121
Chasen Hines,C,6,327,5.22,30.5,108
Christopher Hinton,DT,6,305,5.28,31.5,106
Curtis Hodges,TE,6,257,4.85,34.5,117
Aidan Hutchinson,DE,6,260,4.74,36,117
Jermaine Johnson II,DE,6,254,4.58,32,125
Johnny Johnson III,WR,6,197,4.6,32,121
Ed Ingram,OG,6,307,5.02,20.5,102
Keaontay Ingram,RB,6,221,4.53,34.5,122
D&#039;Marco Jackson,LB,6,233,4.55,33,125
Zion Johnson,OG,6,312,5.18,32,112
Braxton Jones,OT,6,310,4.97,25.5,108
Travis Jones,DT,6,325,4.92,28.5,110
Velus Jones,WR,6,204,4.31,33,121
Kevin Austin Jr.,WR,6,200,4.43,39,132
Darian Kinnard,OG,6,322,5.31,25,99
Zonovan Knight,RB,5,209,4.58,31,114
Nate Landman,LB,6,238,4.86,36.5,119
DeMarvin Leal,DT,6,283,5,27.5,106
Alec Lindstrom,C,6,296,5.18,29,111
Devin Lloyd,LB,6,237,4.66,35,126
Vederian Lowe,OT,6,314,5.22,25.5,99
Abraham Lucas,OT,6,315,4.92,27,107
Chase Lucas,CB,5,180,4.48,39,128
Jesse Luketa,LB,6,253,4.89,37.5,114
Boye Mafe,EDGE,6,261,4.53,38,125
Cade Mays,OG,6,311,5.24,26,102
