Date,Percent Change
11/3/2016,-0.44
11/2/2016,-0.65
11/1/2016,-0.68
10/31/2016,-0.01
10/28/2016,-0.31
10/27/2016,-0.3
10/26/2016,-0.17
10/25/2016,-0.38
10/24/2016,0.47
10/21/2016,-0.01
10/20/2016,-0.14
10/19/2016,0.22
10/18/2016,0.62
10/17/2016,-0.3
10/14/2016,0.02
10/13/2016,-0.31
10/12/2016,0.11
10/11/2016,-1.24
10/10/2016,0.46
10/7/2016,-0.33
10/6/2016,0.05
10/5/2016,0.43
10/4/2016,-0.5
10/3/2016,-0.33
9/30/2016,0.8
9/29/2016,-0.93
9/28/2016,0.53
9/27/2016,0.64
9/26/2016,-0.86
9/23/2016,-0.57
9/22/2016,0.65
9/21/2016,1.09
9/20/2016,0.03
9/19/2016,0
9/16/2016,-0.38
9/15/2016,1.01
9/14/2016,-0.06
9/13/2016,-1.48
9/12/2016,1.47
9/9/2016,-2.45
9/8/2016,-0.22
9/7/2016,-0.01
9/6/2016,0.3
9/2/2016,0.42
9/1/2016,0
8/31/2016,-0.24
8/30/2016,-0.2
8/29/2016,0.52
8/26/2016,-0.16
8/25/2016,-0.14
8/24/2016,-0.52
8/23/2016,0.2
8/22/2016,-0.06
8/19/2016,-0.14
8/18/2016,0.22
8/17/2016,0.19
8/16/2016,-0.55
8/15/2016,0.28
8/12/2016,-0.08
8/11/2016,0.47
8/10/2016,-0.29
8/9/2016,0.04
8/8/2016,-0.09
8/5/2016,0.86
8/4/2016,0.02
8/3/2016,0.31
8/2/2016,-0.64
8/1/2016,-0.13
7/29/2016,0.16
7/28/2016,0.16
7/27/2016,-0.12
7/26/2016,0.03
7/25/2016,-0.3
7/22/2016,0.46
7/21/2016,-0.36
7/20/2016,0.43
7/19/2016,-0.14
7/18/2016,0.24
7/15/2016,-0.09
7/14/2016,0.53
7/13/2016,0.01
7/12/2016,0.7
7/11/2016,0.34
7/8/2016,1.53
7/7/2016,-0.09
7/6/2016,0.54
7/5/2016,-0.68
7/1/2016,0.19
6/30/2016,1.36
6/29/2016,1.7
6/28/2016,1.78
6/27/2016,-1.81
6/24/2016,-3.59
6/23/2016,1.34
6/22/2016,-0.17
6/21/2016,0.27
6/20/2016,0.58
