Job_Title,Department,Salary
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
CIVIL ENGINEER IV,DEPT OF WATER MANAGEMENT,129540
ATTORNEY,DEPARTMENT OF PUBLIC HEALTH,114384
POLICE OFFICER,DEPARTMENT OF POLICE,93264
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
PARAMEDIC I/C,FIRE DEPARTMENT,96246
SERGEANT,DEPARTMENT OF POLICE,121806
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE DEPARTMENT,117384
SERGEANT,DEPARTMENT OF POLICE,125634
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,104814
ENGINEERING TECHNICIAN VI,DEPT OF WATER MANAGEMENT,131232
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
POLICE OFFICER,DEPARTMENT OF POLICE,56040
CRIMINAL INTELLIGENCE ANALYST,DEPARTMENT OF POLICE,89640
POLICE OFFICER,DEPARTMENT OF POLICE,108822
PARAMEDIC I/C,FIRE DEPARTMENT,101052
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,61308
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,88770
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,84522
AVIATION COMMUNICATIONS OPERATOR,DEPARTMENT OF AVIATION,58560
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST DIR OF INFORMATION SYSTEMS,FAMILY AND SUPPORT SERVICES,114684
ASST TO THE ALDERMAN,CITY COUNCIL,96336
POLICE OFFICER,DEPARTMENT OF POLICE,56040
TRAFFIC ENGINEER IV,CHICAGO DEPT OF TRANSPORTATION,102996
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SR PROCUREMENT SPECIALIST,DEPARTMENT OF PROCUREMENT SERV,81552
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SUPERINTENDENT OF SPECIAL TRAFFIC SERVICES,OFFICE OF EMERGENCY MANAGEMENT,90444
SANITATION CLERK,DEPT STREETS AND SANITATION,74220
PROJECT COORD,DEPARTMENT OF PUBLIC HEALTH,66804
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,84468
FIREFIGHTER-EMT,FIRE DEPARTMENT,114570
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SENIOR ENVIRONMENTAL INSPECTOR,DEPARTMENT OF PUBLIC HEALTH,108996
PUBLIC HEALTH NURSE II,DEPARTMENT OF PUBLIC HEALTH,75492
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,88896
SENIOR EQUITY OFFICER,CHICAGO PUBLIC LIBRARY,101580
POLICE OFFICER,DEPARTMENT OF POLICE,56040
AUDITOR I,DEPARTMENT OF FINANCE,77052
CIVIL ENGINEER III,DEPT OF WATER MANAGEMENT,112500
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,121806
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,56040
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,DEPARTMENT OF PUBLIC HEALTH,94824
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
DETENTION AIDE,DEPARTMENT OF POLICE,62136
SERGEANT,DEPARTMENT OF POLICE,117900
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,74844
FIREFIGHTER,FIRE DEPARTMENT,108036
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
SENIOR PUBLIC INFORMATION OFFICER,BUS AFFAIRS AND CONSUMER PROT,103920
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
PARAMEDIC,FIRE DEPARTMENT,93252
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,111966
GENERAL COUNSEL,DEPARTMENT OF PUBLIC HEALTH,165432
MANAGING DEPUTY COMMISSIONER,DEPARTMENT OF AVIATION,190044
PARAMEDIC I/C,FIRE DEPARTMENT,101052
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PARAMEDIC,FIRE DEPARTMENT,88770
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
POLICE OFFICER,DEPARTMENT OF POLICE,93264
FREEDOM OF INFORMATION ACT OFFICER,DEPARTMENT OF POLICE,74424
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,81816
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PARKING ENFORCEMENT AIDE,DEPARTMENT OF AVIATION,71436
POLICE OFFICER,DEPARTMENT OF POLICE,101412
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,88770
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,79974
COORD OF PAYMENT SERVICES,DEPARTMENT OF FINANCE,73332
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
LIEUTENANT-PARAMEDIC,FIRE DEPARTMENT,125904
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
STREET LIGHT REPAIR WORKER,CHICAGO DEPT OF TRANSPORTATION,117624
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,40392
CULTURAL AFFAIRS COORD II,DEPT OF CULTURAL AFFAIRS,103920
REGIONAL LIBRARY DIRECTOR,CHICAGO PUBLIC LIBRARY,101580
CLINICAL THERAPIST III,DEPARTMENT OF POLICE,118632
POLICE OFFICER,DEPARTMENT OF POLICE,104934
CLERK IV - TIMEKEEPER,PUBLIC SAFETY ADMINISTRATION,52176
SENIOR FISCAL POLICY ANALYST,DEPARTMENT OF FINANCE,94680
INFORMATION COORD,DEPARTMENT OF PUBLIC HEALTH,75624
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,90036
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,84522
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,93264
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,101412
PROGRAM AUDITOR II,DEPT OF HOUSING,99360
FINANCIAL PLANNING ANALYST - EXCLD,DEPT OF HOUSING,85248
INFORMATION ANALYST (IGO),IG,60876
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
VENTILATION AND FURNACE INSPECTOR,DEPT OF BUILDINGS,106704
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SANITATION CLERK,DEPT STREETS AND SANITATION,53064
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,118632
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,55932
CIVIL ENGINEER IV,CHICAGO DEPT OF TRANSPORTATION,129540
PUBLIC HEALTH ADMINISTRATOR I,DEPARTMENT OF PUBLIC HEALTH,99360
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,108822
SERGEANT,DEPARTMENT OF POLICE,129666
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,46776
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,81816
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,135684
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SUPERVISING DISEASE CONTROL INVESTIGATOR - EXCL,DEPARTMENT OF PUBLIC HEALTH,94704
POLICE OFFICER,DEPARTMENT OF POLICE,108822
LEGISLATIVE AIDE,CITY COUNCIL,22248
PUBLIC RELATIONS COORD,DEPT OF CULTURAL AFFAIRS,75996
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,61308
ENVIRONMENTAL ENGINEER III,DEPARTMENT OF PUBLIC HEALTH,129540
ENGINEERING TECHNICIAN VI,CHICAGO DEPT OF TRANSPORTATION,131232
RECRUITING COORDINATOR,DEPARTMENT OF HUMAN RESOURCES,67860
PUBLIC HEALTH ADMINISTRATOR I,DEPARTMENT OF PUBLIC HEALTH,94824
PROJECTS ADMINISTRATOR,DEPARTMENT OF PUBLIC HEALTH,97548
