Day,Language,Number_of_Foods,SaltUse,Energy (kcal),Protein (gm),Carbs (gm),Sugar (gm),Fiber (gm),Fat (gm),Cholesterol,Calcium (mg),Caffeine (mg),Alcohol (gm),Food_Comparison,Water (gm)
1,1,13,2,1133,34.45,192.65,82.92,4.3,23.45,80,1236,3,0,2,300
4,1,14,2,1932,74.78,251.58,89.08,17.2,74.1,202,744,0,0,2,1080
1,1,14,2,1551,48.81,194.87,125.1,9.5,66.61,140,1168,2,0,2,480
5,1,14,1,1896,62.92,275.62,65.71,18.7,61.01,92,1105,38,0,2,4057.8
7,1,8,2,847,27.86,99.55,78.67,1.4,38.52,678,345,0,0,3,180
3,1,11,2,2689,100.31,311.06,153.4,18,116.22,369,1609,6,0,1,360
1,1,22,1,3989,140.48,398.88,174.02,16.2,205.46,774,1428,1262,0,3,0
3,1,13,2,2129,80.95,222.29,106.31,17.5,103.39,243,1329,10,0,2,0
1,1,8,2,1302,47.88,135.67,34.13,11.3,64.15,129,228,0,0,2,945
5,1,19,2,1334,53.94,149.36,56.64,9.3,58.96,125,1056,1,0,2,180
7,1,8,2,640,13.36,67.04,67.04,0,35.36,16,504,0,0,2,0
5,1,10,2,1267,26.1,145.64,73.82,17.2,68.83,428,375,0,0,2,690
2,2,11,2,1363,27.13,207.24,110.79,10.7,49.65,44,673,22,0,2,90
4,1,11,2,1964,82.57,245.18,71.59,15.8,72.03,168,1489,72,0,2,240
4,1,5,2,400,8.85,44.55,44.55,0,20.4,0,320,0,0,2,0
1,1,20,2,2953,94.7,341.77,175.94,14.6,137.42,441,1630,373,0,3,540
3,2,11,2,1733,141.23,237.33,106.49,20.3,29.23,138,1789,17,0,2,1305
6,1,9,2,2317,45.95,356.4,206.27,15.4,84.77,155,857,13,0,2,210
5,1,19,2,2169,105.05,248.16,77.74,18.4,84.93,177,648,153,0,2,570
7,1,11,2,2112,73.4,267.6,62.1,20.6,82.91,140,1643,1,0,2,1800
1,1,12,2,1714,37,233.08,124.39,8.1,70.17,119,608,8,0,2,0
6,1,9,2,1844,102.21,153.01,54.92,10.9,92.47,382,861,2,0,2,3150
6,1,10,2,1586,21.8,218.31,152.55,9.4,76.22,112,291,79,0,2,480
1,1,13,2,2308,49.51,425.13,299.43,11.2,51.35,485,502,314,0,2,0
7,1,16,2,928,18.01,116.42,99.11,3,44.48,23,707,0,0,2,30
1,2,19,2,1929,91.45,252.26,90.33,36.9,65.94,196,1965,91,0,2,2121
4,1,16,2,1964,141.2,208.14,77.81,13.6,62,356,299,95,0,1,840
6,1,13,1,2859,71.25,494.65,301.1,44.4,76.92,306,959,129,0,2,240
3,1,15,2,850,25.73,78.39,32.53,6.5,51.17,38,199,221,0,2,507
1,1,5,2,1736,41.41,255.58,108.25,9.2,61.59,191,536,0,0,2,0
7,1,17,2,3048,75.84,443.14,125.97,35.4,109.59,237,1132,0,0,2,1365
5,1,17,2,2228,69.65,278.8,116.41,22,93.55,194,1608,0,0,1,420
5,1,15,2,4410,287.36,396.56,113.86,32.2,192.93,795,1160,390,0,2,760.5
3,1,13,2,1412,56.58,148,84.3,6.8,66.82,567,701,0,0,2,0
3,1,18,2,2269,70.57,342.19,74.78,22.6,70.66,397,824,0,0,2,510
1,1,23,2,2727,69.4,335.88,185.88,15,126.24,446,1050,8,0,3,1710
4,1,15,2,2469,51.37,342.46,110.79,16.2,82.86,100,785,206,28.1,2,0
4,1,11,2,340,7.08,45.48,38.57,1.4,14.49,0,317,0,0,2,120
6,1,3,2,985,37.06,101.5,38.98,2.4,32.64,167,107,0,18.5,2,0
5,1,17,2,1615,64.89,211.72,102.89,13.8,57.03,179,1063,0,0,2,1680
6,1,18,2,1828,63.25,196.07,73.28,20.3,78.89,235,412,194,18.5,2,870
4,1,18,2,1392,56.86,138.42,71.77,5.6,69.62,384,1561,78,0,2,510
6,1,10,2,1834,97.97,209.63,122,5.3,68.55,582,940,47,0,2,240
1,1,13,1,2637,61.85,265.65,141.08,7.7,149.45,880,619,0,0,1,1575
2,2,26,1,1954,56.6,287.81,88.31,26.9,66.89,146,476,63,0,2,540
3,1,6,2,1568,59.69,167.42,53.41,9.3,75.07,556,705,33,0,3,0
6,1,12,2,725,50.47,30.46,17.14,2.3,44.11,279,228,28,0,3,1920
5,1,13,2,2726,93.03,386.85,135.28,18,90.58,835,1409,2,0,2,1740
1,1,18,1,2321,103.65,243.37,128.33,27,106.61,482,1214,14,0,2,960
3,1,26,2,1713,71.96,202.9,66.27,19.7,71.51,397,813,108,0,2,1260
2,1,12,2,1223,43.78,152.79,58.73,7.9,48.81,643,470,13,0,2,299.99
2,1,20,1,1195,35.62,162.5,93.01,7.5,45.4,81,708,0,0,2,0
5,1,7,2,1739,66.34,233.49,103.2,8.8,59.36,159,1195,33,0,3,0
4,1,9,2,1925,77.01,169.88,12.63,7.9,102.78,175,627,0,0,2,195
5,1,16,2,1810,88.25,159.24,89.82,23.3,97.3,294,765,183,0,2,2400
4,1,17,2,1454,51.68,274.87,161.11,11,20.49,102,252,200,0,3,420
1,1,10,2,2400,80.55,295.92,183.53,10.9,101.69,918,700,0,0,2,0
2,1,22,2,2336,93.88,241.29,33.91,23.9,111.09,680,1491,384,0,2,3120
6,1,11,2,1689,112.38,177.99,82.1,20.4,58.35,378,440,14,0,2,480
2,1,10,2,1099,63.48,142.77,51.58,11.6,33.41,170,467,0,0,2,780
3,1,22,2,3833,146.23,699.57,138.16,49.3,53.72,335,1928,0,0,2,2100
5,1,16,2,2101,53.76,313.51,169.34,15.7,74.66,145,1400,6,0,2,120
5,1,8,2,1925,54.37,244.95,82.38,12.7,83.33,77,652,584,0,3,0
3,1,1,2,105,0,25.68,25.68,0,0,0,105,0,0,3,0
3,1,11,2,809,18.44,105.89,82.67,5.7,35.19,16,658,0,0,2,0
2,1,6,2,1230,51.91,154.58,12.56,6.9,44.39,228,407,0,0,2,1440
4,1,10,2,885,35.67,138.44,75.33,9.2,23.48,85,645,0,0,2,420
6,1,25,1,1999,88.23,203.64,56.94,27.8,93.86,371,1094,144,0,2,960
2,1,20,2,3187,114.58,386.44,127.09,34.2,135.5,367,1650,3,0,1,480
4,1,10,2,1861,76.08,229.6,130.17,12.6,73.78,225,970,67,0,2,480
5,1,18,2,2908,87.48,346.56,177.73,10.8,130.46,223,1101,78,0,2,1560
4,1,12,2,2476,52.96,360.37,175.16,15.2,96.41,151,812,27,0,2,720
4,1,13,2,1144,31.28,169.49,94.86,7.3,39.75,89,884,11,0,2,420
6,1,15,2,1866,64.64,266.01,122.3,10,59.12,384,983,9,0,2,120
3,1,8,2,1305,53.74,144.36,59.99,11,58.98,137,1053,17,0,2,0
2,1,3,2,707,24.78,102.15,36.63,6.8,22.06,41,449,0,0,3,0
3,1,9,2,1770,44.23,244.11,101.14,10.3,69.5,133,944,7,0,2,840
2,1,12,2,1598,76.37,199.76,121.98,8.5,60.9,174,766,238,0,2,480
5,1,14,2,1922,82.83,229.76,103.88,15.7,75.17,246,951,382,0,2,1980
6,1,27,2,1325,59.84,154.87,61.2,22.6,58.52,146,1179,57,0,2,2070
4,1,30,2,2175,79.52,247.25,100.03,22.6,90.33,271,949,123,15.9,2,660
4,1,10,2,1420,69.81,191.96,108.78,12.2,45.38,124,765,2,0,2,1014
4,1,16,2,2041,124.87,214.06,98.13,16,77.34,340,1158,115,0,2,0
2,1,10,2,1769,73.37,247.67,110.91,20,55.59,130,973,56,0,2,480
2,1,12,2,4891,239.28,602.63,164.49,28.7,168.91,895,517,0,0,2,2520
