Name,Control,State,Degree_Status,Size_Category,Highest_Degree,HBCU,Distance_Ed,Tuition,Admit_Rate,GradRate_4,GradRate6,GradRate6_men,GradRate6_women,GradRate_Pell,Percent_Aid,StudentFaculty_Ratio,Enrollment
Abilene Christian University,2,TX,1,2,9,2,1,55500,70,47,60,55,63,38,100,13,4899
Abraham Baldwin Agricultural College,1,GA,1,2,5,2,1,15727,75,19,34,32,36,26,96,19,3112
Adams State University,1,CO,1,2,9,2,1,23797,100,22,34,25,43,24,99,11,2534
Adelphi University,2,NY,1,3,9,2,1,64325,77,62,71,71,71,63,95,12,7292
Adrian College,2,MI,1,2,7,2,1,56897,76,39,50,44,59,41,100,15,1776
AdventHealth University,2,FL,1,2,9,2,1,41932,90,25,42,38,43,32,87,6,1645
Alabama A & M University,1,AL,1,3,9,1,1,24234,72,11,28,23,32,28,86,18,5289
Alabama State University,1,AL,1,2,9,1,1,22110,98,10,28,23,32,26,93,13,3911
Alaska Pacific University,2,AK,1,1,9,2,1,34670,96,17,22,25,20,24,100,8,390
Albany College of Pharmacy and Health Sciences,2,NY,1,2,9,2,1,52015,72,38,58,50,63,74,100,7,1239
Albertus Magnus College,2,CT,1,2,8,2,1,59228,82,44,56,57,55,57,99,14,1241
Albion College,2,MI,1,2,5,2,1,66970,69,53,64,56,73,53,100,11,1586
Albright College,2,PA,1,2,7,2,1,44454,76,41,47,43,51,43,96,11,1577
Alcorn State University,1,MS,1,2,9,1,1,23812,39,33,42,38,45,38,100,15,3268
Alderson Broaddus University,2,WV,1,1,7,2,1,44439,67,24,31,24,41,27,100,13,860
Alfred University,2,NY,1,2,9,2,1,50316,67,46,60,54,66,56,98,9,2361
Alice Lloyd College,2,KY,1,1,5,2,0,28120,36,23,29,29,30,31,97,21,596
Allegheny College,2,PA,1,2,5,2,1,69450,75,67,75,70,79,76,100,9,1584
Allen University,2,SC,1,1,7,1,1,24234,57,9,23,15,31,22,99,15,637
Alma College,2,MI,1,2,7,2,1,59176,69,54,63,58,66,53,100,13,1526
Alvernia University,2,PA,1,2,9,2,1,56960,58,41,65,55,71,57,95,13,2387
American International College,2,MA,1,2,9,2,1,57240,58,34,42,36,49,43,98,17,2760
American Musical and Dramatic Academy,2,NY,1,2,7,2,0,62240,22,67,67,60,71,67,100,7,1667
American University,2,DC,1,4,9,2,1,70512,64,73,79,77,80,80,81,12,13014
Amherst College,2,MA,1,2,5,2,1,80050,9,87,92,92,93,88,66,7,1770
Anderson University,2,IN,1,2,9,2,1,49060,62,54,63,57,67,49,100,9,1288
Anderson University,2,SC,1,2,9,2,1,46684,50,51,64,56,67,51,100,16,3733
Andrews University,2,MI,1,2,9,2,1,42950,82,41,73,69,76,68,100,10,2753
Angelo State University,1,TX,1,4,9,2,1,22766,70,31,45,41,47,39,97,19,7971
Anna Maria College,2,MA,1,2,8,2,1,57532,73,40,48,34,58,45,100,13,1365
Antioch College,2,OH,1,1,5,2,1,50383,72,18,32,43,29,23,100,7,103
Appalachian Bible College,2,WV,1,1,7,2,1,28102,46,71,71,75,69,57,100,7,187
Appalachian State University,1,NC,1,5,9,2,1,20799,85,57,73,69,76,68,75,17,19619
Aquinas College,2,MI,1,2,7,2,1,49200,89,40,60,53,64,53,100,10,1285
Arcadia University,2,PA,1,2,9,2,1,62990,82,54,62,64,61,59,99,10,3241
Arizona Christian University,2,AZ,1,2,5,2,1,49424,76,30,36,26,60,26,100,18,831
Arizona State University Campus Immersion,1,AZ,1,5,9,2,1,29774,88,52,66,63,70,60,92,18,73871
Arkansas State University,1,AR,1,4,9,2,1,22653,63,38,52,47,56,45,100,14,12190
Arkansas Tech University,1,AR,1,3,9,2,1,21421,94,29,43,42,44,37,94,18,7799
Art Academy of Cincinnati,2,OH,1,1,7,2,1,49890,100,34,38,31,40,38,100,9,222
Asbury University,2,KY,1,2,7,2,1,45462,77,56,65,59,69,52,100,14,1477
Ashland University,2,OH,1,2,9,2,1,37538,70,56,68,61,73,53,98,12,3719
Assumption University,2,MA,1,2,8,2,1,62768,86,69,72,66,75,68,100,12,2592
Auburn University,1,AL,1,5,9,2,1,33650,71,55,81,77,84,66,76,20,29525
Auburn University at Montgomery,1,AL,1,3,9,2,1,21258,97,13,36,33,37,31,99,15,4743
Augsburg University,2,MN,1,2,9,2,1,55929,76,45,58,55,61,53,100,13,3418
Augusta University,1,GA,1,3,9,2,1,24764,73,29,50,42,55,44,95,16,8662
Augustana College,2,IL,1,2,7,2,1,60219,69,76,79,72,83,74,100,11,2453
Augustana University,2,SD,1,2,9,2,1,52272,72,57,71,68,72,59,100,11,1808
Aurora University,2,IL,1,3,9,2,1,41682,86,46,55,42,64,52,99,20,6144
Austin College,2,TX,1,2,7,2,0,58927,43,65,68,66,70,62,100,11,1247
Austin Peay State University,1,TN,1,3,9,2,1,30107,93,23,40,34,44,38,99,15,8437
Ave Maria University,2,FL,1,2,9,2,1,41977,64,57,61,52,69,51,100,18,1234
Averett University,2,VA,1,2,8,2,1,51706,48,36,42,38,46,33,100,12,1418
Avila University,2,MO,1,2,7,2,1,31506,68,29,39,32,46,37,99,10,1241
Azusa Pacific University,2,CA,1,3,9,2,1,55598,94,53,72,65,75,86,99,10,8257
Babson College,2,MA,1,2,7,2,1,76360,25,90,94,93,94,97,53,16,3598
Bacone College,2,OK,1,1,5,2,1,31050,55,4,7,5,14,6,96,11,286
Baker College,2,MI,1,2,9,2,1,24620,41,5,17,13,19,18,96,8,4009
Baker University,2,KS,1,2,9,2,1,47420,99,49,62,58,66,63,100,12,1938
Baldwin Wallace University,2,OH,1,2,8,2,1,56290,79,54,66,61,72,56,100,11,3318
Ball State University,1,IN,1,5,9,2,1,25254,68,54,68,64,71,57,95,14,18819
Baptist Health Sciences University,2,TN,1,1,9,2,1,22740,35,47,59,75,56,59,95,8,857
Barclay College,2,KS,1,1,8,2,1,38490,54,33,48,31,65,74,100,9,173
Bard College,2,NY,1,2,9,2,0,77628,60,57,71,68,72,83,81,9,2548
Barry University,2,FL,1,3,9,2,1,49044,64,21,41,36,43,39,100,15,6902
Barton College,2,NC,1,2,7,2,1,47750,99,44,52,49,53,47,100,13,1158
Bates College,2,ME,1,2,5,2,0,77870,17,88,92,91,92,90,44,10,1876
Bay State College,3,MA,1,1,5,2,1,53142,50,11,11,6,20,22,100,10,443
Baylor University,2,TX,1,5,9,2,1,68126,57,68,82,80,83,75,97,16,20082
Beacon College,2,FL,1,1,5,2,1,65020,57,52,72,75,64,58,98,11,398
Belhaven University,2,MS,1,2,9,2,1,38425,64,44,54,41,63,52,100,10,4159
Bellarmine University,2,KY,1,2,9,2,1,61218,86,58,65,68,64,50,100,12,3254
Belmont Abbey College,2,NC,1,2,7,2,1,33990,99,39,46,41,52,36,100,14,1465
Belmont University,2,TN,1,3,9,2,1,58305,88,57,68,63,71,56,90,14,8389
Beloit College,2,WI,1,2,5,2,1,67136,67,67,73,70,77,70,99,10,1069
Bemidji State University,1,MN,1,2,7,2,1,22856,75,31,46,41,51,38,90,16,3705
Benedict College,2,SC,1,2,7,1,1,30000,86,16,25,17,33,22,96,18,1804
Benedictine College,2,KS,1,2,7,2,1,51080,98,44,63,57,68,61,100,13,2157
Benedictine University,2,IL,1,2,9,2,1,49188,80,35,47,42,51,41,100,13,3768
Bennington College,2,VT,1,1,7,2,1,80648,67,59,68,71,66,70,99,10,839
Bentley University,2,MA,1,3,9,2,1,75615,61,83,88,85,93,88,81,12,4797
Berea College,2,KY,1,2,5,2,0,54396,33,45,66,59,71,63,100,9,1478
Berklee College of Music,2,MA,1,3,8,2,1,68270,55,57,69,65,75,55,95,10,7055
Berry College,2,GA,1,2,7,2,1,55500,70,66,72,66,76,67,100,12,2095
Bethany College,2,WV,1,1,7,2,1,46890,74,36,43,36,61,28,100,12,569
Bethany College,2,KS,1,1,5,2,1,51560,72,26,30,21,48,31,100,14,690
Bethany Global University,2,MN,1,1,7,2,1,29195,95,53,56,50,57,87,98,27,354
Bethany Lutheran College,2,MN,1,1,7,2,1,39430,61,53,63,62,63,63,100,12,714
Bethel College-North Newton,2,KS,1,1,5,2,1,46831,71,33,47,44,50,42,100,10,432
Bethel University,2,IN,1,2,7,2,1,44400,98,54,63,59,66,55,100,11,1174
Bethel University,2,MN,1,2,9,2,1,55300,89,67,74,70,77,63,99,11,3603
Bethel University,2,TN,1,2,7,2,1,32670,50,26,35,36,34,35,98,13,1698
Bethune-Cookman University,2,FL,1,2,7,1,1,31040,100,15,32,29,35,33,97,15,2678
Binghamton University,1,NY,1,4,9,2,1,29454,44,75,84,81,87,81,76,19,18199
Biola University,2,CA,1,3,9,2,1,59500,61,55,70,67,71,63,100,13,4810
Birmingham-Southern College,2,AL,1,2,5,2,1,37470,66,65,70,64,76,57,97,10,1193
Black Hills State University,1,SD,1,2,7,2,1,22100,97,26,42,30,52,35,94,17,2477
Blackburn College,2,IL,1,1,5,2,1,37150,66,36,46,41,49,41,100,9,507
Bloomfield College,2,NJ,1,2,7,2,1,47992,84,22,38,26,44,37,98,14,1460
Bloomsburg University of Pennsylvania,1,PA,1,3,9,2,1,26110,90,42,59,54,63,51,89,19,7835
Blue Mountain College,2,MS,1,1,7,2,1,30125,99,47,58,42,79,41,100,21,793
Bluefield State College,1,WV,1,2,5,1,1,22971,97,17,31,33,28,27,93,13,1004
Bluefield University,2,VA,1,1,7,2,1,43357,72,33,35,28,46,25,99,14,1132
Bluffton University,2,OH,1,1,7,2,1,49848,75,49,53,48,58,40,100,12,682
Boise Bible College,2,ID,1,1,5,2,1,25800,79,46,50,64,30,47,100,10,80
Boise State University,1,ID,1,5,9,2,1,27095,83,31,53,48,57,45,85,20,18297
Boston Baptist College,2,MA,1,1,5,2,1,26691,64,60,80,71,100,80,100,6,43
Boston College,2,MA,1,4,9,2,1,80658,19,88,91,90,92,85,51,14,13312
Boston University,2,MA,1,5,9,2,1,79606,19,84,89,88,90,87,58,11,34081
Bowdoin College,2,ME,1,2,5,2,0,76310,9,89,94,92,95,91,62,9,1756
Bowie State University,1,MD,1,3,9,1,1,25116,87,17,42,34,47,43,83,18,5439
Bowling Green State University-Main Campus,1,OH,1,4,9,2,1,28963,79,46,61,57,63,51,98,18,16122
Bradley University,2,IL,1,3,9,2,1,51428,76,57,74,71,77,64,100,12,5529
Brandeis University,2,MA,1,3,9,2,1,78956,39,82,88,86,89,88,84,10,6555
Brenau University,2,GA,1,2,9,2,1,48960,89,39,52,50,52,38,96,9,2583
Brescia University,2,KY,1,1,7,2,1,42254,53,34,47,46,48,36,89,12,810
Brevard College,2,NC,1,1,7,2,1,44650,45,26,33,27,39,25,100,10,746
Brewton-Parker College,2,GA,1,1,5,2,1,35357,80,5,12,8,18,13,99,18,585
Bridgewater College,2,VA,1,2,7,2,1,55250,75,55,62,59,65,54,100,13,1584
Bridgewater State University,1,MA,1,3,8,2,1,28664,86,39,62,54,69,60,91,19,9306
Brigham Young University,2,UT,1,5,9,2,1,20146,59,25,77,73,80,65,65,21,35738
Brigham Young University-Hawaii,2,HI,1,2,5,2,1,21867,88,30,49,57,47,71,76,16,3445
Brigham Young University-Idaho,2,ID,1,5,5,2,1,12880,97,15,46,45,48,42,58,20,46322
Brown University,2,RI,1,4,9,2,1,82570,6,86,96,95,97,93,55,6,9330
Bryant University,2,RI,1,2,7,2,1,66943,74,80,84,81,87,86,98,13,3706
