Player,Opp_Team,Exit_Velocity,Angle,Pitch_Speed,Distance,Pitch_Type
Rosario,LAD,100.5,31,101.2,390,Sinker
Duvall,PHI,103.8,25,100.9,418,Sinker
Marsh,CWS,108.9,20,100.8,401,4
Lowrie,CLE,103.9,31,100.5,393,Cutter
Chisholm Jr.,PHI,95.3,29,100.5,378,Sinker
Chisholm Jr.,NYM,107.4,31,100.4,402,4
Devers,NYY,113.7,26,100.1,451,4
Soler,CLE,107.4,22,100.1,427,Cutter
Mercado,TOR,100.6,25,100,368,4
McMahon,NYM,103.5,22,99.9,391,4
Zimmerman,NYM,109.3,25,99.9,437,Sinker
Blackmon,LAD,106.3,24,99.9,366,Sinker
Chapman,KC,107.1,22,99.9,388,4
Hoskins,MIA,107.7,28,99.8,410,4
Hernandez,CHC,101.8,29,99.7,384,Sinker
Riley,NYM,101.4,22,99.7,360,4
BÃ¡ez,PHI,105.3,27,99.7,407,Sinker
McCutchen,NYY,100.9,31,99.6,413,4
GarcÃ­a,MIN,100.8,30,99.5,365,4
Kirk,NYY,100.4,31,99.4,362,4
Donaldson,HOU,106.9,22,99.4,365,4
UrÃ­as,NYM,102.9,25,99.3,388,Sinker
Cron,SF,108,26,99.3,390,4
Perez,CWS,111.6,29,99.3,448,4
Trammell,LAD,104.9,24,99.2,405,4
Devers,KC,112.1,20,99.2,447,4
Devers,NYY,108.9,23,99.2,412,4
Polanco,DET,103.6,38,99.1,399,Sinker
Rizzo,TB,110,26,99,428,4
Harper,MIA,102.9,33,99,369,4
Gurriel,MIN,100.5,29,99,393,4
Profar,SF,98.1,31,99,368,4
Bell,PHI,109.8,21,99,404,Sinker
UrÃ­as,NYM,105.9,29,99,413,4
Rojas,LAA,102.8,26,98.9,422,4
Wisdom,STL,107.1,37,98.9,382,Sinker
Marmolejos,LAD,114.1,17,98.9,355,Sinker
Perez,CWS,99.8,37,98.8,389,4
Mullins,MIA,101,30,98.8,395,4
Craig,SF,107.8,23,98.7,395,4
Mountcastle,BOS,106.4,27,98.7,395,4
Happ,STL,108.2,29,98.7,445,Sinker
Vaughn,NYY,109.8,27,98.6,432,4
Goldschmidt,MIA,104.9,31,98.6,415,4
Duvall,STL,107.8,35,98.6,417,4
Urshela,OAK,104,27,98.6,424,4
Martinez,TOR,98.9,31,98.6,340,4
Soto,CIN,104.2,25,98.5,368,Sinker
Harper,NYM,109,27,98.5,442,4
Alvarez,NYY,112.1,34,98.5,429,4
SÃ¡nchez,TOR,102.6,31,98.5,382,4
Lewis,BAL,103.7,34,98.5,380,4
Abreu,KC,106.8,21,98.5,413,4
Stewart,MIN,104.3,32,98.4,411,4
Perez,CWS,109.1,38,98.4,438,4
Mancini,CWS,105.1,21,98.3,376,4
Polanco,NYY,105,25,98.3,397,Sinker
Chirinos,PHI,94.9,28,98.3,372,Sinker
Kepler,CWS,110.2,18,98.3,378,4
Harper,COL,109.6,31,98.3,435,4
Alonso,MIA,106.2,30,98.3,425,4
Odor,PHI,107.7,34,98.3,428,Sinker
Meadows,BOS,99.6,31,98.3,393,4
Reyes,TB,111,20,98.3,419,4
Soto,TB,110.3,22,98.3,423,4
Zunino,MIA,110.4,24,98.2,412,Sinker
Bell,NYM,104.6,21,98.2,369,Sinker
Renfroe,TOR,102,27,98.2,404,4
Ortega,PIT,103.3,32,98.1,368,4
Altuve,OAK,103.4,25,98.1,422,4
Mountcastle,KC,104,25,98.1,366,4
Ohtani,OAK,115.8,25,98.1,429,4
McKinstry,COL,101.7,29,98.1,378,4
Upton,NYY,104.5,31,98.1,391,4
Realmuto,MIA,100.5,33,98,387,4
Mullins,LAA,101.2,29,98,387,4
Wisdom,MIL,109.7,24,98,430,Sinker
Neuse,HOU,108.6,22,98,430,4
Soler,DET,107.4,24,98,428,Sinker
Ramos,DET,106.3,31,98,431,Sinker
PÃ©rez,DET,106.2,23,97.9,363,Sinker
Hoskins,WSH,107.4,28,97.9,406,4
Shaw,CWS,98.2,28,97.9,372,4
Stanton,CLE,115.7,19,97.9,418,4
SanÃ³,NYY,102.8,38,97.9,355,4
Machado,WSH,109.2,33,97.9,413,4
Kieboom,PHI,102.3,27,97.9,400,Sinker
Polanco,CIN,105.2,23,97.9,405,4
Torreyes,CIN,95.6,32,97.9,358,4
DeJong,CIN,108.6,25,97.9,431,Sinker
Freeman,BOS,105.3,25,97.9,413,4
Wade Jr.,OAK,105,29,97.8,399,4
VanMeter,COL,97.2,38,97.8,370,4
Renfroe,LAA,100.7,29,97.8,388,Sinker
Smith,COL,101.2,36,97.8,393,4
d'Arnaud,COL,104.1,26,97.8,421,4
Caratini,COL,110.8,23,97.8,401,4
Stallings,NYM,93.7,40,97.8,346,4
Goldschmidt,CIN,100.8,31,97.8,365,Sinker
