Versus,Exit_Velocity,Launch_Angle,Pitch_Speed,Distance,Pitcher_Age,Pitch_Type,Batter_Age
AZ,110,37,91.6,504,29,Four Seam,32
COL,109.9,35,87.5,499,30,Changeup,31
COL,114.7,31,84.8,496,26,Slider,25
STL,110.4,33,82,495,33,Changeup,28
OAK,110.6,28,95.2,490,28,Four Seam,31
SD,111.2,27,80.4,486,23,Curveball,32
NYY,115.1,30,94.3,473,31,Sinker,30
TEX,112.9,23,90.9,472,28,Sinker,31
OAK,113.9,28,86.1,469,29,Changeup,25
CWS,111.8,30,96.1,469,33,Four Seam,29
COL,110.3,31,88.4,468,27,Knuckle Curve,29
SEA,117.6,25,96.5,468,24,Four Seam,30
AZ,105.2,30,85.8,468,33,Cutter,30
TEX,117.9,18,85,467,26,Cutter,23
NYM,110.5,28,96.7,467,27,Four Seam,31
WSH,110.6,34,82.7,467,38,Changeup,24
WSH,111.4,30,86.5,467,27,Slider,29
CHC,110.9,30,90.5,466,31,Four Seam,32
BAL,113.5,25,87.4,465,28,Changeup,30
AZ,106.8,30,90.3,465,29,Sinker,27
COL,106.8,31,91.3,464,30,Sinker,33
OAK,114.9,23,94.1,464,26,Sinker,25
OAK,113.8,27,77.5,464,28,Curveball,25
TB,113.2,31,96.1,464,28,Four Seam,30
CHC,106.9,38,77.9,464,31,Changeup,27
COL,107.7,25,88.4,463,27,Knuckle Curve,30
SF,104.5,26,85.1,462,29,Changeup,31
SEA,118,28,96.8,462,25,Four Seam,28
SF,111.1,25,88.2,461,35,Split-Finger,31
PIT,109.1,27,95.7,461,23,Four Seam,31
BAL,114.1,26,90.4,461,27,Sinker,30
AZ,109.8,22,79.9,461,29,Changeup,28
MIL,110.2,25,94.2,460,34,Four Seam,30
COL,106.1,27,83.3,460,26,Slider,31
COL,110.8,27,96.1,460,27,Sinker,25
AZ,111,24,83.6,459,34,Curveball,30
MIA,109.5,31,78.6,458,27,Slider,32
SEA,113.4,29,83.2,458,27,Slider,28
COL,105,27,85.1,457,29,Slider,26
TEX,113.3,24,99.3,457,26,Sinker,33
KC,109.2,26,96.4,457,26,Four Seam,24
MIL,109.6,29,81.3,457,32,Slider,31
AZ,110.1,25,90.5,457,33,Four Seam,32
BAL,111.1,31,75.6,456,26,Curveball,30
KC,114.3,32,87.5,456,32,Changeup,25
CWS,114,25,94.9,456,28,Four Seam,30
WSH,109.7,31,97.1,456,31,Sinker,34
AZ,107.2,31,93,456,29,Four Seam,30
KC,107.9,28,95,456,30,Four Seam,31
AZ,109.7,31,78.3,456,33,Curveball,27
KC,107.2,29,93.3,455,27,Four Seam,28
SF,111.4,27,81,454,33,Changeup,32
TEX,111.5,25,91,454,30,Four Seam,28
BOS,112.4,26,86.6,454,24,Slider,32
COL,107.5,26,96.2,453,27,Four Seam,33
KC,113.5,27,93.9,453,26,Four Seam,30
PIT,110.2,31,93.2,453,29,Sinker,30
NYM,115.9,26,94.7,453,30,Sinker,30
PHI,104.8,26,92.2,453,29,Sinker,36
MIN,107.8,25,91.3,453,33,Sinker,29
CIN,111.6,23,93.9,453,27,Four Seam,27
CWS,110.8,28,86.9,452,36,Cutter,30
AZ,107.6,28,94,452,29,Sinker,32
MIN,111.2,24,82.4,452,33,Slider,25
CWS,109.9,30,84.3,452,26,Slider,32
BAL,112.8,27,91.4,452,30,Four Seam,29
TOR,114,25,88.2,452,35,Four Seam,28
COL,107.6,23,88.1,452,30,Slider,35
COL,100.6,28,90.6,452,34,Cutter,30
CWS,110.9,32,80,452,35,Slider,27
CHC,107,37,69.2,452,30,Other,31
MIL,110.3,23,95.2,452,28,Cutter,25
TOR,109.5,24,77.9,451,35,Changeup,35
CIN,110.4,26,89.2,451,27,Changeup,29
OAK,110.6,26,88,451,28,Slider,28
OAK,106.9,30,80.7,451,28,Curveball,29
LAD,112.4,28,94.4,451,25,Four Seam,31
TEX,110.1,27,95.1,451,27,Four Seam,32
WSH,109.3,32,98.4,451,30,Four Seam,26
COL,104.6,31,94.3,451,27,Sinker,25
ATL,112.5,28,89.5,451,23,Cutter,24
SEA,112.6,27,91.6,451,29,Four Seam,30
STL,111,22,92.6,450,34,Four Seam,32
LAD,103.5,29,93,450,28,Four Seam,27
BOS,110,28,94.8,450,31,Four Seam,31
AZ,108.7,24,85.5,450,25,Slider,27
TB,115.3,30,94.4,450,32,Sinker,30
MIA,110.4,25,97,450,27,Sinker,22
MIL,111.7,32,77.6,450,27,Curveball,25
DET,112.5,26,82.7,450,26,Changeup,26
KC,110.6,24,84.2,450,26,Slider,28
STL,107.7,23,84.7,449,26,Changeup,31
NYM,108,29,89.9,449,27,Changeup,25
SEA,111.4,26,91.2,449,31,Four Seam,26
DET,109.5,26,87.9,449,28,Cutter,27
DET,111.4,33,93.8,449,26,Four Seam,25
CWS,109.3,26,82.2,449,36,Slider,29
MIL,110.6,35,95,449,29,Four Seam,22
CHC,108.8,28,94,449,26,Four Seam,27
MIL,112.4,29,93,449,25,Four Seam,29
WSH,108.3,24,88.9,449,31,Slider,29
MIA,113.4,28,85.4,449,32,Slider,29
KC,110.2,29,81.4,449,25,Changeup,30
LAA,111,27,94.3,448,28,Four Seam,22
LAA,110.8,26,95.5,448,26,Four Seam,25
COL,107.1,32,92.7,448,26,Sinker,29
BAL,108.5,27,92.2,448,30,Four Seam,24
BAL,108.7,29,85,448,27,Slider,28
COL,106.9,25,97.9,447,30,Four Seam,26
STL,113.7,28,92.6,447,31,Four Seam,28
CLE,108.8,29,81.2,447,27,Knuckle Curve,26
BAL,112.8,24,92.2,447,30,Four Seam,33
TOR,110.3,24,93,447,29,Sinker,31
CHC,110.9,24,79.7,447,33,Changeup,31
BOS,117.5,20,86.4,447,29,Changeup,23
COL,103.4,32,80.3,447,29,Changeup,27
CHC,103.1,31,91.2,447,28,Slider,28
TEX,109.3,29,86.9,447,27,Changeup,23
COL,111.6,21,83.3,447,29,Slider,30
DET,107.8,30,76.5,447,26,Knuckle Curve,28
TOR,113.1,33,84.9,447,28,Changeup,25
ATL,108.7,26,91.3,447,39,Sinker,26
BAL,110.8,28,94.3,447,30,Four Seam,30
COL,107.7,28,84.3,446,26,Slider,30
COL,107.2,24,95.5,446,27,Sinker,33
SEA,106.9,31,79.7,446,30,Changeup,30
TB,105.2,27,87.3,446,25,Slider,35
HOU,114.4,20,80.5,446,27,Slider,23
ATL,112.6,31,87.4,446,24,Changeup,32
CIN,110.9,29,85.2,446,35,Slider,31
WSH,108.6,28,88.9,446,29,Cutter,25
TEX,108.6,27,92.4,446,26,Sinker,29
SD,111.1,39,94.2,446,32,Four Seam,33
AZ,113,28,91.9,446,33,Four Seam,29
STL,110.6,25,86.2,446,34,Slider,32
HOU,108.8,32,98.8,445,31,Four Seam,31
NYM,110.1,24,93.2,445,35,Four Seam,25
COL,106.9,32,87.5,445,30,Changeup,29
AZ,107,34,81.1,445,29,Changeup,31
LAD,113,25,81.2,445,26,Curveball,32
PIT,108.5,28,93.7,445,31,Sinker,31
KC,110.7,32,93.3,445,26,Four Seam,29
PHI,110.8,23,97.4,445,23,Four Seam,32
MIN,111.8,26,85.2,445,25,Cutter,33
SEA,107.2,28,86,445,25,Slider,29
LAD,105.9,29,89.9,445,34,Four Seam,32
OAK,111,23,81.8,445,33,Curveball,22
ATL,108.5,28,90.9,445,27,Slider,25
CIN,108.3,28,90.4,444,27,Changeup,30
COL,106.3,37,85.9,444,29,Slider,26
CHC,110,24,91.2,444,31,Four Seam,27
MIN,108,30,93.2,444,30,Four Seam,24
KC,112.1,29,86.3,444,27,Slider,26
KC,112.6,25,84.4,444,30,Slider,25
DET,111.3,24,95.5,444,27,Four Seam,35
OAK,110.1,29,87.8,444,27,Slider,25
MIA,110.2,28,90,444,35,Sinker,29
BOS,108.5,26,86.4,444,30,Slider,30
LAD,103,28,91,444,34,Cutter,30
KC,104.8,23,94.6,444,25,Four Seam,26
BOS,110,25,67,444,42,Slider,26
TOR,111.3,32,79,444,29,Curveball,33
SEA,112.3,32,92.5,444,32,Four Seam,24
COL,111.4,34,84.3,444,26,Changeup,25
KC,109.3,26,92.3,444,26,Four Seam,30
COL,107.7,25,81.4,444,27,Curveball,36
COL,108.4,29,93.8,444,27,Four Seam,34
KC,106.3,29,87,444,39,Cutter,26
OAK,107,27,93,444,26,Four Seam,34
TB,112.4,32,93.4,443,29,Four Seam,24
COL,107.5,35,83.3,443,29,Slider,27
BAL,114.8,18,83.3,443,27,Curveball,23
NYM,109.3,33,93.1,443,31,Four Seam,28
MIL,108.9,29,94.1,443,32,Sinker,42
MIL,110.3,30,87,443,29,Slider,30
OAK,108.9,28,75.6,443,28,Curveball,28
DET,105.8,32,95,443,24,Four Seam,27
HOU,109.8,25,93.2,443,27,Four Seam,22
CLE,108.9,24,99.5,443,24,Cutter,24
CHC,108.1,22,94.5,443,36,Four Seam,32
NYY,114.4,20,95.3,443,28,Sinker,23
COL,102.6,33,90.8,443,29,Four Seam,32
CHC,112.4,28,93.1,443,27,Four Seam,28
KC,105.7,26,93.4,443,27,Four Seam,28
NYM,105.9,30,80.1,443,30,Curveball,32
NYM,112.2,27,95.2,443,38,Four Seam,30
PHI,107.9,29,92.1,443,25,Sinker,31
LAA,112.3,31,91.9,442,26,Four Seam,25
TEX,108.6,23,95.6,442,31,Four Seam,32
MIA,113.4,22,95.5,442,24,Four Seam,22
MIA,108.5,25,94.5,442,31,Sinker,25
SF,106.4,31,93.9,442,32,Four Seam,27
CHC,108.6,27,91.4,442,31,Sinker,27
SD,107.6,23,94.1,442,32,Four Seam,34
TEX,106.8,28,82,442,25,Changeup,36
WSH,110.4,27,94.2,442,27,Sinker,26
PHI,104.8,29,89.5,442,32,Slider,28
AZ,105,33,94.4,442,34,Sinker,33
NYY,112.2,24,97.8,441,29,Sinker,32
CWS,107.5,27,92.4,441,35,Four Seam,22
DET,108.5,30,83.2,441,28,Cutter,32
WSH,109,34,95.8,441,24,Four Seam,30
CIN,103.6,30,87.8,441,23,Slider,30
HOU,108.6,31,85.9,441,39,Slider,31
HOU,107.8,30,89.6,441,39,Slider,27
STL,106.9,31,93.3,441,28,Sinker,32
NYM,107.8,28,97.9,441,34,Four Seam,28
COL,107.1,24,73.8,441,29,Knuckle Curve,26
WSH,110.2,21,90.4,441,36,Sinker,25
KC,104.3,26,85.8,441,27,Slider,26
NYY,112.4,35,98,441,32,Four Seam,25
WSH,109.4,31,93.4,441,33,Sinker,29
PIT,111.6,26,92.6,441,29,Sinker,29
COL,107.1,31,95.3,441,26,Four Seam,28
COL,112.3,21,97.8,441,29,Four Seam,25
KC,106.3,30,85.3,441,26,Slider,28
SD,113.3,29,91.3,440,30,Sinker,42
NYY,110,29,87.3,440,28,Cutter,25
TB,111.4,22,78.6,440,31,Changeup,29
CHC,110.5,35,92.5,440,31,Sinker,26
BOS,106.7,32,86.9,440,26,Changeup,22
CIN,107,29,54.4,440,28,Other,23
COL,102.9,31,93.4,440,30,Sinker,30
COL,108,30,98.3,440,30,Four Seam,24
AZ,105.6,35,94.5,440,29,Sinker,31
MIA,108.2,24,87.7,440,26,Changeup,29
MIA,107.1,30,82.9,440,30,Slider,21
LAD,113,22,83.7,440,27,Slider,25
TB,109.2,25,81,440,34,Slider,25
TB,108.7,31,94.2,439,25,Four Seam,33
TEX,108.8,28,91.9,439,24,Four Seam,26
CWS,106.6,35,81.1,439,25,Curveball,27
WSH,111.4,34,96.5,439,25,Four Seam,31
STL,107.4,27,93.7,439,31,Four Seam,21
LAA,110,32,90.1,439,30,Cutter,25
OAK,106.9,31,92,439,33,Four Seam,29
WSH,108.9,26,79.1,439,31,Curveball,21
SD,108,29,86.9,439,36,Cutter,31
SD,102.1,26,87.5,439,27,Slider,28
CHC,110.1,21,85.1,439,36,Curveball,28
CIN,107.2,32,88.6,439,27,Cutter,31
PHI,111.7,27,92.6,439,27,Sinker,25
NYM,107.1,33,85.1,439,35,Changeup,27
AZ,111.9,28,83.3,439,33,Changeup,25
MIA,111.4,22,91.3,439,32,Four Seam,27
SD,105.4,33,93.9,439,32,Four Seam,28
MIA,111.5,28,84.1,439,24,Curveball,25
OAK,107.3,31,88,439,28,Sinker,26
TOR,108,24,93.5,439,29,Four Seam,42
ATL,107.7,24,94.3,439,24,Four Seam,32
SF,108.9,31,82.7,439,27,Changeup,29
TB,106.9,33,85.8,439,36,Cutter,24
CHC,108,22,91,439,31,Sinker,26
PHI,107,28,78.5,438,35,Curveball,28
ATL,113.5,28,91.8,438,35,Sinker,30
CLE,107.6,28,92,438,25,Four Seam,30
DET,107.3,25,84.4,438,24,Slider,28
COL,109.9,35,86.5,438,27,Slider,31
KC,113.5,32,78.6,438,30,Curveball,28
TB,106.6,27,91,438,30,Four Seam,26
TB,105.8,29,87,438,32,Cutter,36
MIA,107.9,24,91,438,27,Sinker,29
SD,113.5,27,96.5,438,30,Four Seam,29
CHC,113,31,80.8,438,25,Slider,28
STL,109.1,29,94.9,438,32,Sinker,23
TB,110.3,22,90.5,438,25,Slider,22
STL,108.1,30,95.3,438,30,Four Seam,31
WSH,108.3,24,94.6,438,25,Four Seam,25
AZ,109.1,33,89.4,438,34,Changeup,29
WSH,104.5,32,81.1,438,28,Slider,26
COL,103.3,38,79.8,438,32,Curveball,34
ATL,102.1,32,93,438,35,Sinker,36
PIT,110,30,89.1,437,29,Slider,27
BOS,112.7,27,91.7,437,31,Four Seam,30
BAL,109.3,27,92.9,437,28,Four Seam,28
CLE,105,28,81.7,437,27,Knuckle Curve,36
MIA,109.8,28,80.2,437,27,Slider,25
MIA,111.6,24,87.8,437,28,Slider,25
SD,107.4,22,95,437,30,Four Seam,30
AZ,108.3,21,81,437,31,Changeup,22
MIN,106.3,24,91.1,437,27,Four Seam,24
TEX,110.1,22,81.2,437,26,Slider,26
OAK,106.9,28,92.7,437,28,Sinker,29
KC,107.4,32,96.7,437,29,Four Seam,34
AZ,110.2,33,91.9,437,34,Cutter,29
MIN,108.6,25,91.6,437,33,Sinker,26
BAL,110.4,23,82.7,437,27,Slider,27
LAA,110.7,26,92.4,437,30,Four Seam,26
COL,109.9,25,91.2,437,30,Sinker,21
CLE,106.3,26,88.5,437,25,Slider,28
COL,106.6,36,84.1,437,27,Slider,31
MIN,107.4,25,84.6,437,38,Four Seam,27
BOS,112,21,83.9,437,29,Slider,33
CLE,110.6,24,92.9,437,27,Four Seam,25
AZ,107.5,22,91.3,437,33,Four Seam,42
CHC,104.9,28,83.5,437,31,Split-Finger,26
MIL,117.5,21,94.5,437,28,Cutter,24
CWS,104.2,31,92.9,437,28,Four Seam,24
KC,106.5,36,67.7,437,27,Other,29
MIL,113.1,27,90.6,437,28,Changeup,28
BAL,114.7,24,92.9,437,26,Four Seam,30
PIT,105,26,85.2,437,29,Slider,26
CIN,103.7,28,88.1,437,23,Slider,27
PIT,104.9,28,87.2,436,28,Changeup,28
