Response_id,Age,Education,Marital_Statu,Generation,Employment_Status,Hours_Worked,Money_Motivate,Student,Credit_Hours,Hours_Study,Exercise,Hours_Exercise,Hours_Eat_Drink,Sleep,Leisure,Phone,Blood,Life_Expectation,Energy,Children_Finance,Money_EatingOut,Smartphone_Purchase,Facebook,Instagram,SnapChat,Twitter,YouTube,LinkedIn,WhatsApp,TikTok,Pinterest,BeReal,Hours_SocialMedia,Politics
1362596,38,Bachelor's Degree,Divorced/Separated,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),50,Sole motivating factor,No,"","",Yes,7,2,7,4,1.25,No,...about the same.,Somewhat important,Worse off,65,Yes,0,1,1,1,1,1,1,1,0,0,1,Not much impact
1362663,36,Bachelor's Degree,Married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),40,Somewhat,No,"","",No,"",2,7,2,5,No,...about the same.,Extremely important,Worse off,70,Yes,1,1,0,0,0,1,0,0,0,0,1,More
1362668,33,Bachelor's Degree,Never been married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),50,Somewhat,No,"","",Yes,5,1,8,3,3,No,...about the same.,Somewhat important,Worse off,50,Yes,0,1,1,0,1,1,0,1,0,0,2,More
1362674,48,Graduate or Professional Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),40,Somewhat,No,"","",Yes,8,1.5,8,2,2,No,...worse.,Very important,Worse off,20,Yes,0,0,0,1,1,0,0,0,0,0,1,More
1362675,35,Bachelor's Degree,Married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),40,Somewhat,No,"","",Yes,2,2,9,3,4,No,...better.,Not too important,Worse off,200,Yes,0,1,0,0,0,1,0,0,1,0,2,More
1362677,66,Some College,Married,Baby Boomers (Born 1946-1964),Unemployed...not seeking employment,"","",No,"","",Yes,10,1,8,4,3,No,...better.,Somewhat important,About the same,150,Yes,1,1,0,0,1,0,0,0,1,0,2,More
1362679,41,Bachelor's Degree,Married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),40,Somewhat,No,"","",Yes,4,3,8,1,3,No,...about the same.,Somewhat important,About the same,100,Yes,1,1,0,0,0,1,0,1,1,0,3,More
1362682,46,Bachelor's Degree,Married,Generation X (Born 1965-1980),Employed Full-Time (not self-employed),40,Somewhat,No,"","",Yes,7,2,7,2,3,No,...better.,Somewhat important,Better off,150,Yes,1,1,0,0,0,1,0,1,0,0,2,More
1362684,41,Bachelor's Degree,Married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),40,Somewhat,No,"","",No,"",3,10,1,2,No,...about the same.,Somewhat important,About the same,200,Yes,1,0,0,0,1,1,0,0,0,0,1,Not much impact
1362685,31,Bachelor's Degree,Never been married,Millennials (Born 1981-1995),Employed Full-Time (not self-employed),46,Somewhat,No,"","",Yes,6,1,6.5,4,3,No,...better.,Somewhat important,Better off,60,Yes,1,1,1,0,1,0,0,1,0,0,2,More
1362686,26,Bachelor's Degree,Married,Gen Z (Born 1996-2015),Employed Full-Time (not self-employed),35,Somewhat,Yes,6,12,Yes,5,1,7,2,1,No,...about the same.,Not too important,Worse off,0,No,0,1,0,0,0,0,0,0,0,0,0,More
1362687,20,Some College,Never been married,Gen Z (Born 1996-2015),Employed Part-Time (not self-employed),40,Somewhat,Yes,12,5,No,"",3,8,3,4,No,...better.,Somewhat important,About the same,20,Yes,1,1,1,1,1,0,0,1,1,1,5,More
