Trip Seconds,Trip Miles,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Location,Dropoff Location
963,9.57,25.5,0,0,0,25.5,Prcard,Flash Cab,8,68
256,0.83,5.75,0,0,0,5.75,Cash,Flash Cab,28,28
1550,15.11,38.5,8.6,0,4,51.6,Credit Card,Flash Cab,76,6
68593,3.07,11.25,10.85,0,1.5,23.6,Cash,Flash Cab,33,76
60,0,3.25,0,0,0,3.25,Cash,Taxi Affiliation Services,8,8
465,2.07,10.66,0.61,0,0,11.27,Mobile,Medallion Leasin,28,8
775,5.07,18.85,3.19,0,0,22.04,Mobile,Chicago Independents,6,8
1020,14.7,36,8.1,0,4,48.6,Credit Card,Medallion Leasin,8,24
1367,17.8,44,9.7,0,4,58.2,Mobile,Globe Taxi,76,8
429,1.76,11.02,2.51,0,0,13.53,Mobile,Flash Cab,6,7
1590,21.2,51.25,11.15,0,4,66.9,Credit Card,24 Seven Taxi,POC,DOC
410,1.51,7.25,3,0,1,11.75,Credit Card,Sun Taxi,7,7
540,3.3,11.25,2.5,0,1.5,15.25,Credit Card,Taxi Affiliation Services,6,7
453,2.86,10,2,0,5,17.5,Credit Card,City Service,POC,DOC
730,1.18,8.25,0,0,0,8.25,Cash,Flash Cab,28,32
309,1.08,6.25,2,0,0,8.75,Credit Card,Flash Cab,8,8
762,3.1,11.25,3,0,0,14.75,Credit Card,Medallion Leasin,8,33
1208,16.7,41.75,9.25,0,4,55.5,Credit Card,Medallion Leasin,76,8
909,0,20.14,2.27,0,0,22.41,Mobile,Flash Cab,6,28
1126,0,25.13,5.64,0,0,30.77,Mobile,Flash Cab,6,28
1952,14.3,37,8.5,0,5,51,Credit Card,Medallion Leasin,76,77
1277,17.31,42.75,7.09,0,4,54.34,Credit Card,Flash Cab,POC,28
355,2.25,8.75,3,0,0,12.25,Credit Card,City Service,7,6
19,0,14,5,0,0,19.5,Credit Card,City Service,8,8
1320,5.5,18,0,0,1,19,Cash,Taxi Affiliation Services,6,8
1092,11.88,30.25,0,0,0,30.25,Prcard,City Service,8,69
1796,15.8,40.75,9.05,0,4,54.3,Credit Card,Medallion Leasin,76,6
1003,14.3,35.75,0,0,5,40.75,Cash,Globe Taxi,76,22
1260,12.4,32.25,9.15,0,4,45.4,Credit Card,Taxi Affiliation Services,56,8
292,1.3,6.25,0,0,1.5,8.25,Credit Card,Medallion Leasin,32,28
441,2.68,12.17,2.76,0,0,14.93,Mobile,City Service,28,8
948,0.93,24.75,0,0,6,31.25,Credit Card,Flash Cab,76,DOC
1020,3.2,12.25,2.55,0,0,14.8,Credit Card,Top Cab Affiliation,8,28
1378,16.78,41.75,0,0,4,45.75,Cash,Flash Cab,POC,7
1307,16.99,42.25,0,0,4,46.25,Cash,Flash Cab,POC,49
300,1.3,6.5,0,0,0,6.5,Credit Card,Choice Taxi Association,8,8
420,1.5,7.5,0,0,0,7.5,Cash,Taxi Affiliation Services,8,28
643,5.95,21.2,4.76,0,0,25.96,Mobile,Sun Taxi,6,8
1363,10.57,28.25,0,0,21.5,49.75,Cash,Flash Cab,POC,DOC
430,3.05,10.75,0,0,1,11.75,Cash,Flash Cab,32,28
754,0,21.89,2.46,0,0,24.35,Mobile,Flash Cab,6,32
1163,15.8,39.75,6.64,0,4,50.89,Credit Card,Setare Inc,76,8
1494,1.02,12.5,0,0,5,18,Credit Card,Globe Taxi,POC,DOC
480,1.5,7.25,0,0,0,7.25,Cash,Taxi Affiliation Services,8,28
420,0.1,8.5,3,0,0,11.5,Credit Card,Taxi Affiliation Services,32,8
600,7.9,21,0,0,0,21,Cash,Taxi Affiliation Services,15,76
1241,12.08,32.5,0,0,0,32.5,Prcard,Flash Cab,28,DOC
540,3.9,12.25,5,0,4,21.25,Credit Card,Star North Management LLC,56,DOC
909,5.9,17.75,4.81,0,1,24.06,Credit Card,Globe Taxi,6,8
1200,5.1,16.75,0,0,1,17.75,Cash,Taxi Affiliation Services,6,8
225,0.7,5,0,0,0,5,Cash,Globe Taxi,8,8
325,1.51,6.75,0,0,0,6.75,Cash,Flash Cab,4,2
796,9.69,25.25,4.46,0,4,34.21,Credit Card,Flash Cab,POC,33
1562,13.32,34,7.7,0,4,46.2,Credit Card,Sun Taxi,76,3
430,4.37,16.3,3.68,0,0,19.98,Mobile,City Service,22,8
960,0.8,32.75,7.45,0,4,44.2,Credit Card,Taxi Affiliation Services,76,21
238,0.67,5,0,0,0,5,Cash,Sun Taxi,7,7
1200,0,30.5,5,0,4,39.5,Credit Card,Taxi Affiliation Services,56,8
459,1.98,8,0,0,1,9,Cash,Flash Cab,7,8
1440,12.2,32,0,0,4,36,Cash,Choice Taxi Association,76,4
285,0.62,5.5,0,0,0,5.5,Cash,Flash Cab,8,8
440,2.63,9.5,2.8,0,4,16.8,Credit Card,Flash Cab,POC,65
852,0,19.91,1.12,0,0,21.03,Mobile,Flash Cab,6,23
1440,0.6,28.25,6.75,0,5,40,Credit Card,Taxi Affiliation Services,6,33
1200,17.9,43.25,11.9,0,4,59.15,Credit Card,Taxi Affiliation Services,76,8
524,2.36,11.59,2.64,0,0,14.23,Mobile,Sun Taxi,8,24
1050,5.6,17.5,0,0,5.5,23,Cash,City Service,POC,70
900,4.5,15,2,0,0,17,Credit Card,Blue Ribbon Taxi Association Inc.,6,8
519,2.42,9.5,0,0,1.5,11,Cash,Flash Cab,32,33
360,1.2,6.5,0,0,0,6.5,Cash,KOAM Taxi Association,32,8
724,4.07,13.5,3.1,0,1.5,18.6,Credit Card,Sun Taxi,8,24
1620,23.4,58,0,0,4,62,Credit Card,Taxi Affiliation Services,76,28
900,4.8,15.25,2,0,2,19.25,Credit Card,Taxi Affiliation Services,8,6
